seller,units_sold,avg_selling_price,avg_market_value,avg_profit
asbury inventory bank,7,21485.71,22892.86,-1407.14
autonation direct,12,11116.67,12522.92,-1406.25
bourne enterprises,15,10063.33,11468.33,-1405.0
manheim dallas,134,13076.03,14479.66,-1403.63
sonic crest honda llc,14,4596.43,6000.0,-1403.57
d cars corp,17,11405.88,12807.35,-1401.47
460 auto sales,1,18500.0,19900.0,-1400.0
titlemax/titlebuck inventory,1,375.0,1775.0,-1400.0
alpha auto sales corp,1,17200.0,18600.0,-1400.0
jbc motor,1,18300.0,19700.0,-1400.0
larry h miller lexus spokane,1,20000.0,21400.0,-1400.0
top sales one inc,1,13500.0,14900.0,-1400.0
clay cooley isuzu,1,1500.0,2900.0,-1400.0
a abe auto sales,1,10300.0,11700.0,-1400.0
repo remarketing/the golden 1 credit union,1,7000.0,8400.0,-1400.0
splish splash auto sales inc,1,1500.0,2900.0,-1400.0
fox buick gmc,1,10100.0,11500.0,-1400.0
everett chevrolet buick gmc of morganton llc,1,23000.0,24400.0,-1400.0
white allen european auto group,1,25000.0,26400.0,-1400.0
santa monica europeans,3,6966.67,8366.67,-1400.0
union bank & trust company,1,11600.0,13000.0,-1400.0
kings auto ltd,3,22766.67,24166.67,-1400.0
nissan dealer blend/nissan 46,1,15700.0,17100.0,-1400.0
szottm-59 toyota szott m-59 scion,2,25750.0,27150.0,-1400.0
first class 4 x 4,1,22200.0,23600.0,-1400.0
discount auto sales,1,23500.0,24900.0,-1400.0
us trust motors,1,1000.0,2400.0,-1400.0
columbus preowned auto sales llc,1,6500.0,7900.0,-1400.0
best buy cars inc,1,8600.0,10000.0,-1400.0
city of eureka,3,6000.0,7400.0,-1400.0
cornerstone community fcu,1,4000.0,5400.0,-1400.0
turk collectors inc,8,5525.0,6925.0,-1400.0
southwest nissan,1,5700.0,7100.0,-1400.0
salesian society,1,2300.0,3700.0,-1400.0
airport infiniti,1,22900.0,24300.0,-1400.0
schools first fcu,1,7500.0,8900.0,-1400.0
rich belardi auto sales,1,12500.0,13900.0,-1400.0
auto finance group,3,1633.33,3033.33,-1400.0
r & r latinas multiservicios y mas inc,1,15200.0,16600.0,-1400.0
best choice auto,1,300.0,1700.0,-1400.0
1st class auto,1,3300.0,4700.0,-1400.0
used car xpress,1,9000.0,10400.0,-1400.0
e & n auto,1,5400.0,6800.0,-1400.0
columbus finance inc,1,3700.0,5100.0,-1400.0
george kell motors inc.,2,22000.0,23400.0,-1400.0
anoka hennepin credit union,1,21600.0,23000.0,-1400.0
ford of west covina,1,21500.0,22900.0,-1400.0
valley national bank,39,10292.31,11689.1,-1396.79
pinnacle financial group,17,3105.88,4501.47,-1395.59
florida auto financial group,308,14671.1,16064.94,-1393.83
remarketing by ge/lake state fcu,4,4825.0,6218.75,-1393.75
gm/express car & truck rental,8,32181.25,33575.0,-1393.75
coteau sales,3,1841.67,3233.33,-1391.67
nadeau automobiles inc,3,3366.67,4758.33,-1391.67
new brighton ford inc,3,3600.0,4991.67,-1391.67
remarketing by ge/manheim ohio,40,13545.0,14936.25,-1391.25
navy fcu,151,9535.76,10925.5,-1389.74
city rent a truck llc,13,15523.08,16911.54,-1388.46
flamingo auto sales and custom,2,13375.0,14762.5,-1387.5
j5's auto sales llc,2,16750.0,18137.5,-1387.5
jefferson bank,4,8450.0,9837.5,-1387.5
scottsdale sports car group,7,53850.0,55235.71,-1385.71
l & b auto sales corp,5,15720.0,17105.0,-1385.0
houston auto auction,6,4150.0,5533.33,-1383.33
mercedes-benz of nashville,9,14777.78,16161.11,-1383.33
remarketing by ge/manheim baltimore washington,111,7023.2,8405.86,-1382.66
freeway ford llc,12,3591.67,4970.83,-1379.17
faulkner cadillac inc,20,8007.5,9382.5,-1375.0
jack carrolls skagit hyundai,1,1000.0,2375.0,-1375.0
cassill motors inc,1,7500.0,8875.0,-1375.0
max auto sales inc,4,17850.0,19225.0,-1375.0
cpm motors inc,1,1650.0,3025.0,-1375.0
car center of glen burnie,3,1150.0,2525.0,-1375.0
jz exports llc,1,800.0,2175.0,-1375.0
gravity autos roswell,1,1200.0,2575.0,-1375.0
pcs phone inc,1,7900.0,9275.0,-1375.0
darden employee cu,3,3900.0,5275.0,-1375.0
b & b auto sales llc,2,11000.0,12375.0,-1375.0
titlebucks/nashville tn3,1,450.0,1825.0,-1375.0
northern auto inc,4,2100.0,3475.0,-1375.0
westamerica bank,1,7400.0,8775.0,-1375.0
redline european,2,26250.0,27625.0,-1375.0
lexus north shore,4,10000.0,11375.0,-1375.0
glendale auto source,1,1300.0,2675.0,-1375.0
green road finance,2,3850.0,5225.0,-1375.0
canals & trails credit union,1,3200.0,4575.0,-1375.0
adobra autos,1,2700.0,4075.0,-1375.0
alfa romeo and fiat of omaha,1,2700.0,4075.0,-1375.0
mercedes benz of palm springs,6,25791.67,27166.67,-1375.0
express auto finance llc,1,7800.0,9175.0,-1375.0
new york auto sales inc,1,250.0,1625.0,-1375.0
fiserv/brookline bank/bpo,2,5850.0,7225.0,-1375.0
total auto rent,2,8650.0,10025.0,-1375.0
globex motors llc,1,8600.0,9975.0,-1375.0
gene messer hyundai,1,5500.0,6875.0,-1375.0
international auto outlet.com,1,2000.0,3375.0,-1375.0
honda of santa maria,2,13500.0,14875.0,-1375.0
first bank of ohio,1,3200.0,4575.0,-1375.0
primus,2,1950.0,3325.0,-1375.0
southern remarketing solutions/regions bank,41,8254.88,9627.44,-1372.56
improved credit lending,63,3707.14,5076.98,-1369.84
remarketing by ge/manheim ft. lauderdale,32,7809.38,9178.91,-1369.53
new city funding,80,1694.69,3061.56,-1366.88
ecars usa,3,12350.0,13716.67,-1366.67
denooyer chevrolet inc,20,4607.5,5973.75,-1366.25
automotion inc,2,4075.0,5437.5,-1362.5
pacific motors,4,3175.0,4537.5,-1362.5
advantage chevrolet of bolingbrook inc,2,1275.0,2637.5,-1362.5
s&d auto sales,2,650.0,2012.5,-1362.5
jfj enterprizes inc,2,1975.0,3337.5,-1362.5
matthews & michaels,2,2100.0,3462.5,-1362.5
north america financial,18,7858.33,9216.67,-1358.33
prestige motors inc,27,24244.44,25601.85,-1357.41
manheim el paso,4,962.5,2318.75,-1356.25
greater suburban acceptance corporation,4,3325.0,4681.25,-1356.25
universal motor credit,25,3009.0,4362.0,-1353.0
no end trucking inc,1,10400.0,11750.0,-1350.0
herndon chevrolet inc,1,7000.0,8350.0,-1350.0
manheim albany,8,4831.25,6181.25,-1350.0
spotless auto llc,1,10500.0,11850.0,-1350.0
gcs fcu,1,3500.0,4850.0,-1350.0
conklin cars hutchinson,2,23250.0,24600.0,-1350.0
the sewickley car store inc,2,71000.0,72350.0,-1350.0
auto credit,2,850.0,2200.0,-1350.0
visalia honda buick pont gmc,1,13500.0,14850.0,-1350.0
russ darrow leasing company inc,3,10200.0,11550.0,-1350.0
repo remarketing/aspire fcu,3,5633.33,6983.33,-1350.0
msu fcu,1,4400.0,5750.0,-1350.0
manheim daytona beach - remarketing,3,8666.67,10016.67,-1350.0
north american auto finance,8,2593.75,3943.75,-1350.0
galaxy autoplex,1,300.0,1650.0,-1350.0
natchitoches ford lincoln,1,15100.0,16450.0,-1350.0
best buy motors  llc,1,12600.0,13950.0,-1350.0
titlemax / phoenix - az44,1,900.0,2250.0,-1350.0
remarketing by ge/power financial credit union,3,10600.0,11950.0,-1350.0
fiserv/cfcu community cu,1,6800.0,8150.0,-1350.0
pz global auto inc,1,17000.0,18350.0,-1350.0
rand auto sales,1,7000.0,8350.0,-1350.0
car fast auto sales llc,1,18500.0,19850.0,-1350.0
superior credit union,9,5422.22,6772.22,-1350.0
john gibson auto sales,1,10000.0,11350.0,-1350.0
alvarez lincoln mercury jaguar,1,15900.0,17250.0,-1350.0
titlebucks/rossville ga1,1,2900.0,4250.0,-1350.0
house of kars inc,1,14250.0,15600.0,-1350.0
alexander nissan inc,2,18050.0,19400.0,-1350.0
centex truck and auto,1,17500.0,18850.0,-1350.0
1solution auto network llc,1,18250.0,19600.0,-1350.0
virginia premier auto,2,14100.0,15450.0,-1350.0
santander consumer/renig,1,3400.0,4750.0,-1350.0
templin auto sales inc,1,4000.0,5350.0,-1350.0
midwest engine service inc,1,7700.0,9050.0,-1350.0
national auto lenders inc,50,9611.0,10959.5,-1348.5
assets recovered llc,12,5391.67,6737.5,-1345.83
prestige motorcars,5,3350.0,4695.0,-1345.0
langley federal credit union,8,9100.0,10443.75,-1343.75
fruendly auto source inc,4,16075.0,17418.75,-1343.75
wybles used cars,3,15850.0,17191.67,-1341.67
new country lexus of latham,3,13766.67,15108.33,-1341.67
key bank usa,3,8000.0,9341.67,-1341.67
feretti motors,3,4183.33,5525.0,-1341.67
ron craft chevrolet cadillac,3,8366.67,9708.33,-1341.67
security national automotive acceptance corp,35,7102.86,8443.57,-1340.71
united finance co/las vegas,7,1857.14,3196.43,-1339.29
regional finance/san antonio,28,9078.57,10416.96,-1338.39
wallace automotive sales & leasing,2,14850.0,16187.5,-1337.5
s & p auto leasing,4,17700.0,19037.5,-1337.5
street visions inc,4,5300.0,6637.5,-1337.5
foust fleet leasing,4,22400.0,23737.5,-1337.5
pace financial llc,2,3500.0,4837.5,-1337.5
martin swanty hyundai,4,24437.5,25775.0,-1337.5
avenue car & truck rental,2,5800.0,7137.5,-1337.5
alliance credit union,9,9361.11,10697.22,-1336.11
ray laethem chrysler dodge jeep ram,7,11807.14,13142.86,-1335.71
credit union collections llc,5,6720.0,8055.0,-1335.0
enable mississippi river transmission llc,3,6133.33,7466.67,-1333.33
regional finance corp/florence,3,4933.33,6266.67,-1333.33
titlemax/socorro tx2,3,733.33,2066.67,-1333.33
titlemax / fredericksburg va1,6,708.33,2041.67,-1333.33
enterprise fleet management exchange  inc.,417,12879.14,14211.21,-1332.07
lexus of cool springs,8,21075.0,22406.25,-1331.25
audi nashville,12,11925.0,13256.25,-1331.25
walser buick gmc of blm,11,15900.0,17227.27,-1327.27
mid florida cu,1,3900.0,5225.0,-1325.0
e-z terms auto finance llc,1,700.0,2025.0,-1325.0
alexis automotive llc,1,4100.0,5425.0,-1325.0
planet auto sales inc,1,8400.0,9725.0,-1325.0
mfk enterprises inc,1,2400.0,3725.0,-1325.0
don rosen imports,2,14750.0,16075.0,-1325.0
gwinnett auto sales,1,750.0,2075.0,-1325.0
titlebucks/phoenix az8,1,2800.0,4125.0,-1325.0
ras auto sales llc,2,4100.0,5425.0,-1325.0
auto skz,1,4500.0,5825.0,-1325.0
bv automotive llc,2,14350.0,15675.0,-1325.0
flag/proctor subaru,2,20375.0,21700.0,-1325.0
rent to own auto showroom llc,1,2400.0,3725.0,-1325.0
all auto financial,3,2166.67,3491.67,-1325.0
arlington auto sales & leasing inc,2,18800.0,20125.0,-1325.0
dreamauto inc,2,24125.0,25450.0,-1325.0
prime auto sales llc,1,8000.0,9325.0,-1325.0
cobalt financial inc,1,300.0,1625.0,-1325.0
bmw of salem,3,8550.0,9875.0,-1325.0
onemain rem/auto access,12,4100.0,5422.92,-1322.92
primeritus remarketing/austin century auto sales,17,7629.41,8951.47,-1322.06
united auto credit/irvine,172,2881.98,4203.92,-1321.95
cable vision systems corp,4,2075.0,3393.75,-1318.75
crest auto wholesalers of sw fl inc,3,12733.33,14050.0,-1316.67
bermans infiniti of chicago inc,3,7283.33,8600.0,-1316.67
gulf state finance company,3,1833.33,3150.0,-1316.67
sc automotive world,3,7566.67,8883.33,-1316.67
manheim mississippi,4,13000.0,14312.5,-1312.5
third coast auto group,2,2000.0,3312.5,-1312.5
central ohio credit union,4,2975.0,4287.5,-1312.5
central group inc,2,2950.0,4262.5,-1312.5
first cash advanced dba buckeye check cashing,12,1891.67,3204.17,-1312.5
federated law group llc,2,4400.0,5712.5,-1312.5
united auto credit/atlanta,42,2940.48,4251.79,-1311.31
markosian auto  inc,8,1618.75,2928.13,-1309.37
manheim st pete,4,4250.0,5556.25,-1306.25
titlemax/alexandria va1,9,1194.44,2500.0,-1305.56
toyota west,11,5543.18,6847.73,-1304.55
zeigler honda amherst,11,2781.82,4084.09,-1302.27
road america auto finance llc,15,9533.33,10835.0,-1301.67
remarketing by ge/ak&y enterprises inc,72,10975.0,12276.04,-1301.04
vehicle remarketing services,29,9160.34,10461.21,-1300.86
foxx motor sports inc,1,4000.0,5300.0,-1300.0
myeuronow corp,1,25000.0,26300.0,-1300.0
the auto store inc,1,11300.0,12600.0,-1300.0
primeritus remarketing/deere & co credit,8,6175.0,7475.0,-1300.0
paul miller subaru,1,32000.0,33300.0,-1300.0
nissan of bakersfield,1,26500.0,27800.0,-1300.0
primeritus remarketing/american eagle fcu,5,6430.0,7730.0,-1300.0
tye's used auto sales,1,1000.0,2300.0,-1300.0
cars cars cars,3,9533.33,10833.33,-1300.0
doyle motorsports llc,1,23200.0,24500.0,-1300.0
majestic auto sales inc,2,1050.0,2350.0,-1300.0
lou fusz subaru st peters,1,11300.0,12600.0,-1300.0
burnsville auto sales,1,10800.0,12100.0,-1300.0
rollin rides auto sales inc,1,4500.0,5800.0,-1300.0
kraft nissan,1,30700.0,32000.0,-1300.0
arax inc,1,29700.0,31000.0,-1300.0
primeritus remarketing/first hawaiian ban,1,21000.0,22300.0,-1300.0
prostrollo auto plaza co,1,13300.0,14600.0,-1300.0
three brothers auto inc,1,600.0,1900.0,-1300.0
mayo's auto sales,1,11000.0,12300.0,-1300.0
lts nationwide,2,15750.0,17050.0,-1300.0
auto connection,1,18700.0,20000.0,-1300.0
royal auto sales llc,1,15500.0,16800.0,-1300.0
northtown toyota volkswagen scion,1,17100.0,18400.0,-1300.0
mc auto enterprise  inc,1,1900.0,3200.0,-1300.0
primeritus remarketing/rpm automotive ser,1,4100.0,5400.0,-1300.0
clackamas fcu,1,6400.0,7700.0,-1300.0
integrity automotive group,1,13700.0,15000.0,-1300.0
elite auto llc,1,17750.0,19050.0,-1300.0
ars/ate industries,1,22800.0,24100.0,-1300.0
stealth auto llc,1,21300.0,22600.0,-1300.0
hendrick fiat of fayetteville,1,8000.0,9300.0,-1300.0
auto use,1,1450.0,2750.0,-1300.0
texas bay area credit union,1,3400.0,4700.0,-1300.0
remarketing by ge/advantage financing,1,14900.0,16200.0,-1300.0
palmetto health credit union,6,7266.67,8566.67,-1300.0
kia of bedford,10,6870.0,8170.0,-1300.0
ayers chevrolet inc,12,18025.0,19325.0,-1300.0
414 motor cars llc,1,4000.0,5300.0,-1300.0
arrow auto sales,8,10437.5,11737.5,-1300.0
wayne subaru inc,1,2400.0,3700.0,-1300.0
o c motors,1,20500.0,21800.0,-1300.0
tk whips automotive,1,25500.0,26800.0,-1300.0
david austin auto sales,3,14533.33,15833.33,-1300.0
remarketing by ge/frontier financil credit union,2,12100.0,13400.0,-1300.0
isaac motors,1,2500.0,3800.0,-1300.0
simba auto sales inc,1,900.0,2200.0,-1300.0
new bedford credit union,1,1000.0,2300.0,-1300.0
markham auto sales,1,41500.0,42800.0,-1300.0
simon auto & truck sales inc,1,10500.0,11800.0,-1300.0
premier auto sales,2,21850.0,23150.0,-1300.0
smart honda,1,28400.0,29700.0,-1300.0
lifetime auto sales and service inc,1,30500.0,31800.0,-1300.0
nivek paul auto brokers  llc,1,12400.0,13700.0,-1300.0
bl auto sales corp,1,9200.0,10500.0,-1300.0
ocautomotive llc,1,23500.0,24800.0,-1300.0
manheim san antonio,5,7240.0,8540.0,-1300.0
wolf auto center  sterling  llc,1,20500.0,21800.0,-1300.0
amir motors,1,10900.0,12200.0,-1300.0
zimbrick bmw,2,15850.0,17150.0,-1300.0
drivetime,81,7453.09,8749.69,-1296.6
all american chevrolet of midland,35,11332.86,12627.86,-1295.0
all cars inc,4,1912.5,3206.25,-1293.75
autoworks,5,15508.0,16800.0,-1292.0
fiserv/us bank na,30,10241.67,11530.83,-1289.17
glens falls national bank & trust co,32,7862.5,9150.78,-1288.28
quattro motors,2,1200.0,2487.5,-1287.5
lawley automotive center,2,7550.0,8837.5,-1287.5
vantage credit union,2,7600.0,8887.5,-1287.5
jollys auto sales,2,1750.0,3037.5,-1287.5
rio auto group,2,6650.0,7937.5,-1287.5
manheim statesville,100,7732.5,9018.5,-1286.0
auto focus inc,143,19094.76,20380.59,-1285.84
onemain rem/orange county motorsports llc,5,14220.0,15505.0,-1285.0
don moore toyota,3,17366.67,18650.0,-1283.33
auto drive one,11,1193.18,2475.0,-1281.82
priced right cars inc,4,12600.0,13881.25,-1281.25
montgomery automotive group  inc,4,6775.0,8056.25,-1281.25
humberview chevrolet,110,21877.73,23158.41,-1280.68
thrifty car rental,10,17175.0,18455.0,-1280.0
innovate loan servicing corp,202,5028.47,6306.93,-1278.47
budget sales & leasing,17,7529.41,8805.88,-1276.47
blue eagle credit union,1,2500.0,3775.0,-1275.0
curmsons auto sales inc,2,17300.0,18575.0,-1275.0
long island auto recovery inc,1,8200.0,9475.0,-1275.0
keesler federal credit union,2,9600.0,10875.0,-1275.0
totalnation auto brokers inc,1,600.0,1875.0,-1275.0
christian financial credit union,2,9350.0,10625.0,-1275.0
primeritus remarketing/s&r auto sales,2,2050.0,3325.0,-1275.0
wynn auto sales,1,900.0,2175.0,-1275.0
apple chrysler dodge jeep ram of hanover,2,10850.0,12125.0,-1275.0
speedy automotive inc,1,4700.0,5975.0,-1275.0
arizona capital fins llc,1,5150.0,6425.0,-1275.0
onemain rem/southern auto credit,1,1200.0,2475.0,-1275.0
m3j trading company llc,1,4000.0,5275.0,-1275.0
sonic momentum jvp lp,2,16475.0,17750.0,-1275.0
auto traders direct co,1,3600.0,4875.0,-1275.0
raritan bay fcu,2,11050.0,12325.0,-1275.0
napletons elgin kia,1,225.0,1500.0,-1275.0
gordie boucher ford of menomonee falls,5,620.0,1895.0,-1275.0
dixie finance co,1,1000.0,2275.0,-1275.0
stars auto sales,2,1750.0,3025.0,-1275.0
fiserv/sierra auto finance,178,5730.34,7002.81,-1272.47
credit union of new jersey,8,5368.75,6640.63,-1271.88
wheels & deals,6,8500.0,9770.83,-1270.83
landers mclarty dodge chrysler jeep,16,16375.0,17645.31,-1270.31
jim mckay chevrolet inc,5,5220.0,6490.0,-1270.0
innovate auto finance,56,5026.79,6295.98,-1269.2
crest lincoln inc,13,7800.0,9067.31,-1267.31
park ave motor corp,3,33100.0,34366.67,-1266.67
performance auto loans,3,3300.0,4566.67,-1266.67
river city fcu,3,10333.33,11600.0,-1266.67
mini of tempe,3,12333.33,13600.0,-1266.67
nemer chrysler jeep dodge,3,6750.0,8016.67,-1266.67
g stone motors inc,6,8708.33,9975.0,-1266.67
repo remarketing/skyone fcu,6,11791.67,13058.33,-1266.67
manheim fredericksburg,15,5383.33,6648.33,-1265.0
first investors financial services,47,9037.23,10300.53,-1263.3
battlefield ford,8,5037.5,6300.0,-1262.5
frank toyota,4,20062.5,21325.0,-1262.5
reliable credit association/federal way,2,2650.0,3912.5,-1262.5
transworld auto finance & leasing,14,19650.0,20908.93,-1258.93
assets recovered,26,8540.38,9799.04,-1258.65
prince george's efcu,3,1916.67,3175.0,-1258.33
carbucks of georgia inc,4,24975.0,26231.25,-1256.25
nusenda federal credit union,4,10512.5,11768.75,-1256.25
johnson sewell ford lincoln llc,13,13038.46,14290.38,-1251.92
nissan south,2,16550.0,17800.0,-1250.0
wright way hyundai,1,27250.0,28500.0,-1250.0
global auto inc,1,4100.0,5350.0,-1250.0
pennington auto service,1,2600.0,3850.0,-1250.0
fiserv/first national bank of pennsylvania,1,3800.0,5050.0,-1250.0
ravenswood federal credit union,1,6250.0,7500.0,-1250.0
montrose ford inc,1,12600.0,13850.0,-1250.0
lithia toyota of odessa,4,6525.0,7775.0,-1250.0
republic finance llc/metairie,1,4900.0,6150.0,-1250.0
united motors trade llc,1,65750.0,67000.0,-1250.0
mackey auto broker,2,20850.0,22100.0,-1250.0
southern auto finance corp/orlando,1,15900.0,17150.0,-1250.0
florida cars 2001 inc,1,12600.0,13850.0,-1250.0
dick brantmeier ford inc,2,20450.0,21700.0,-1250.0
communicating arts credit union,1,13600.0,14850.0,-1250.0
middlekauff ford lincoln,1,53750.0,55000.0,-1250.0
al bilton ford inc,1,8500.0,9750.0,-1250.0
teocal auto sales,2,1700.0,2950.0,-1250.0
carfinco inc,6,2000.0,3250.0,-1250.0
lg & e company credit union,1,8400.0,9650.0,-1250.0
first choice credit union,2,7100.0,8350.0,-1250.0
met autos llc,2,39050.0,40300.0,-1250.0
hixson autoplex of leesville,1,13300.0,14550.0,-1250.0
bay ridge toyota inc,1,10400.0,11650.0,-1250.0
car now acceptance co/ashtabula,1,1000.0,2250.0,-1250.0
manheim minneapolis,22,11572.73,12822.73,-1250.0
easy credit auto sales,1,1500.0,2750.0,-1250.0
watts auto sales llc,3,15733.33,16983.33,-1250.0
bob maxey ford inc,1,4000.0,5250.0,-1250.0
waikem motors inc,2,7200.0,8450.0,-1250.0
dreier auto sales inc,1,1850.0,3100.0,-1250.0
paul bradley motor cars,1,8300.0,9550.0,-1250.0
western truck sales,2,4850.0,6100.0,-1250.0
excel auto sales,1,700.0,1950.0,-1250.0
auto autos,1,1000.0,2250.0,-1250.0
global auto exchange llc,1,9000.0,10250.0,-1250.0
malsia used car sales,1,1000.0,2250.0,-1250.0
mechanics bank,3,6100.0,7350.0,-1250.0
metro lexus,5,30720.0,31970.0,-1250.0
continental acura of naperville,1,10200.0,11450.0,-1250.0
corry ford,1,10000.0,11250.0,-1250.0
gonzalez used cars,1,15100.0,16350.0,-1250.0
palmetto57 nissan,18,4394.44,5640.28,-1245.83
manheim nashville,111,8219.82,9465.54,-1245.72
greenwood remarketing,15,5306.67,6551.67,-1245.0
curry toyota scion,13,12084.62,13328.85,-1244.23
primus automotive financial services,16,5612.5,6856.25,-1243.75
ulrich motor co,4,2050.0,3293.75,-1243.75
chris hallett auto,29,13679.31,14921.55,-1242.24
a to z liquidators inc,3,2866.67,4108.33,-1241.67
titlemax/houston tx39,6,1975.0,3216.67,-1241.67
m&n finance,3,3400.0,4641.67,-1241.67
spanos imports,3,10133.33,11375.0,-1241.67
redline remarketing/la financial services,3,6800.0,8041.67,-1241.67
brett spaulding sales llc,2,3500.0,4737.5,-1237.5
emery fcu,2,5350.0,6587.5,-1237.5
bergstrom infiniti of the fox valley,4,27850.0,29087.5,-1237.5
exclusive auto sales & service llc,2,1825.0,3062.5,-1237.5
bnb auto sales llc,2,5500.0,6737.5,-1237.5
canadian auto credit approval centre,2,3300.0,4537.5,-1237.5
manheim pittsburgh,11,12900.0,14136.36,-1236.36
manheim harrisonburg,40,5736.25,6972.5,-1236.25
manheim chicago aa,10,9505.0,10740.0,-1235.0
dupaco community credit union,30,5190.83,6425.83,-1235.0
onemain rem/manheim san francisco bay,8,9162.5,10396.88,-1234.38
dealer services financial center llc,3,4033.33,5266.67,-1233.33
source one adj of ohio inc/softite community fcu,3,13833.33,15066.67,-1233.33
manheim palm beach,20,9503.5,10735.0,-1231.5
beadles,8,19600.0,20831.25,-1231.25
checkered flag auto sales llc,4,5625.0,6856.25,-1231.25
east creek motors llc.,1,3050.0,4275.0,-1225.0
maklins motor sales,1,2700.0,3925.0,-1225.0
beaver dam ford llc,2,20700.0,21925.0,-1225.0
north coast auto brokers llc,1,4200.0,5425.0,-1225.0
atlantic city fcu,1,3000.0,4225.0,-1225.0
cove federal credit union,1,3900.0,5125.0,-1225.0
atlantic acceptance corp,2,2600.0,3825.0,-1225.0
cypress finance company  inc.,9,1977.78,3202.78,-1225.0
republic finance llc/hattiesburg,1,1000.0,2225.0,-1225.0
dean kirkwood inc,1,3000.0,4225.0,-1225.0
j & c auto sales of collier county  inc,1,2800.0,4025.0,-1225.0
westcap auto finance,1,4900.0,6125.0,-1225.0
first citizens fcu,23,9108.7,10333.7,-1225.0
car now acceptance co,1,1500.0,2725.0,-1225.0
atwater ford inc,2,29025.0,30250.0,-1225.0
midas motors,1,8300.0,9525.0,-1225.0
a k r auto sales,1,400.0,1625.0,-1225.0
josean fourquet auto corp,1,7400.0,8625.0,-1225.0
repo remarketing / southwest airlines fcu,4,7900.0,9125.0,-1225.0
central florida lincoln mercury inc,2,29000.0,30225.0,-1225.0
jersey city ford lincoln mercury,14,2996.43,4219.64,-1223.21
remarketing of america,246,7939.94,9162.91,-1222.97
security auto loans inc,43,1771.51,2993.6,-1222.09
freedom automotive and marine brokers,30,17123.33,18344.17,-1220.83
titlemax of eastern ave. - nv 5,5,1850.0,3070.0,-1220.0
mariner finance llc/baltimore,12,3383.33,4600.0,-1216.67
porsche of arlington,3,29016.67,30233.33,-1216.67
safe federal credit union,3,10900.0,12116.67,-1216.67
mercedes benz of calabasas,6,13175.0,14391.67,-1216.67
melly auto sales inc,3,14033.33,15250.0,-1216.67
nissan dealer blend/tustin nissan,3,17416.67,18633.33,-1216.67
united consumer finance,19,4086.84,5302.63,-1215.79
peach state fcu,13,5092.31,6307.69,-1215.38
metro ford sales inc,23,3386.96,4602.17,-1215.22
nuvision financial fcu,31,11270.97,12485.48,-1214.52
liquidation llc,116,4361.64,5575.22,-1213.58
pawtucket credit union,2,14000.0,15212.5,-1212.5
manheim jacksonville,2,4225.0,5437.5,-1212.5
franklin mint fcu,2,8350.0,9562.5,-1212.5
goldstein mitsubishi albany,2,5600.0,6812.5,-1212.5
primeritus remarketing/metro health servi,2,3000.0,4212.5,-1212.5
anm collision center inc,2,3850.0,5062.5,-1212.5
holt chrysler jeep dodge,12,1166.67,2377.08,-1210.42
allstate leasing,3,13433.33,14641.67,-1208.33
valor federal credit union,10,6315.0,7522.5,-1207.5
bank of hawaii,52,11748.08,12955.29,-1207.21
new holland ford,5,20760.0,21965.0,-1205.0
td auto finance,1284,13802.76,15007.32,-1204.56
automatic finance,6,4533.33,5737.5,-1204.17
jg elite enterprises,7,11207.14,12410.71,-1203.57
d & b cars llc,1,800.0,2000.0,-1200.0
route 1 auto exchange inc,2,6150.0,7350.0,-1200.0
revolution motor cars,3,15433.33,16633.33,-1200.0
hq motorsports,1,20500.0,21700.0,-1200.0
casa de autos,1,21200.0,22400.0,-1200.0
american credit acceptance,2,2575.0,3775.0,-1200.0
siemer auto center llc,1,14150.0,15350.0,-1200.0
utah used car sales,1,29500.0,30700.0,-1200.0
cbr auto sales inc,1,25400.0,26600.0,-1200.0
greiner buick gmc,1,19400.0,20600.0,-1200.0
lake elsinore ford,1,10900.0,12100.0,-1200.0
new rogers pontiac inc,17,6788.24,7988.24,-1200.0
balaban automotive,1,800.0,2000.0,-1200.0
mp auto sales llc,1,16100.0,17300.0,-1200.0
j m k auto sales inc,1,31000.0,32200.0,-1200.0
garceaus auto sales inc,1,1250.0,2450.0,-1200.0
rpm auto sales,1,13750.0,14950.0,-1200.0
onesource/team nissan of marietta,1,17400.0,18600.0,-1200.0
reina international auto west,1,250.0,1450.0,-1200.0
village financial services llc,1,600.0,1800.0,-1200.0
new dawn auto mall inc,1,500.0,1700.0,-1200.0
webb chevrolet plainfield inc,2,14750.0,15950.0,-1200.0
primeritus remarketing/otg holding llc,1,375.0,1575.0,-1200.0
onemain rem/abram trading corporation,1,2000.0,3200.0,-1200.0
gulfside motors llc,1,16500.0,17700.0,-1200.0
lithia dodge of las cruces,1,7200.0,8400.0,-1200.0
flag/proctor motor company,1,20400.0,21600.0,-1200.0
remktgedge/salvation army,1,4400.0,5600.0,-1200.0
ideal auction depot,1,7900.0,9100.0,-1200.0
great american auto sales,1,500.0,1700.0,-1200.0
crown mitsubishi,1,1600.0,2800.0,-1200.0
paradise auto brokers inc,1,7000.0,8200.0,-1200.0
repo remarketing/safe credit union,1,1600.0,2800.0,-1200.0
green land cars,1,12900.0,14100.0,-1200.0
barrera auto sales,2,14050.0,15250.0,-1200.0
jfk auto center,1,4700.0,5900.0,-1200.0
rpm highline inc,1,18500.0,19700.0,-1200.0
budget rent a car/ars,1,21900.0,23100.0,-1200.0
