seller,units_sold,avg_selling_price,avg_market_value,avg_profit
saratoga's community fcu,1,4000.0,10500.0,-6500.0
capital auto finance corp,2,8100.0,14525.0,-6425.0
coosa pines fcu,1,7000.0,13400.0,-6400.0
luxury sports auto sales,1,13300.0,19650.0,-6350.0
faucett motors of boaz inc,1,6300.0,12650.0,-6350.0
flow companies of greensboro llc,1,34000.0,40300.0,-6300.0
marlina racing inc,1,17000.0,23300.0,-6300.0
onpoint community credit union,1,14200.0,20500.0,-6300.0
dtag tra,69,7253.62,13551.45,-6297.83
ben mynatt chevrolet cadillac inc,1,11000.0,17250.0,-6250.0
titlemax/woodbridge va2,1,6500.0,12700.0,-6200.0
eynon pontiac buick inc,1,36300.0,42500.0,-6200.0
don gooley cadillac inc,1,20000.0,26200.0,-6200.0
royal palm toyota & royal palm scion,1,18600.0,24800.0,-6200.0
alberic ford inc,3,7266.67,13416.67,-6150.0
woodcrest vehicle remarketing,1,1200.0,7350.0,-6150.0
coastal credit corp/augusta,1,1050.0,7175.0,-6125.0
capital bank,6,7466.67,13583.33,-6116.67
tibet motors inc,1,7500.0,13600.0,-6100.0
remarketing by ge/pareto solutinos llc,12,3804.17,9825.0,-6020.83
auto city motors inc,1,89000.0,95000.0,-6000.0
union volkswagen,2,47500.0,53500.0,-6000.0
wild mile auto sales,1,7000.0,13000.0,-6000.0
lendmark financial services/chesapeake,3,5566.67,11500.0,-5933.33
franklin sussex auto mall inc,1,16600.0,22500.0,-5900.0
ag auto group llc,1,13900.0,19800.0,-5900.0
pars auto mart inc,1,3400.0,9275.0,-5875.0
onemain rem/german autoworks inc,1,17900.0,23700.0,-5800.0
adobe auto sales inc,1,1100.0,6900.0,-5800.0
shahinian life llc,1,22500.0,28300.0,-5800.0
georges auto sales,3,12933.33,18716.67,-5783.33
flag/left lane exotics llc,2,61300.0,67000.0,-5700.0
crivelli ford inc,3,18700.0,24350.0,-5650.0
glesby mark leasing,4,10475.0,16112.5,-5637.5
michelles auto sales llc,1,1750.0,7375.0,-5625.0
xavier auto sales inc,1,13500.0,19100.0,-5600.0
remarketing by ge/manheim atlanta,2,28125.0,33700.0,-5575.0
euro wheels,1,700.0,6275.0,-5575.0
avis rac/san francisco,8,10762.5,16325.0,-5562.5
griffin tire and battery,2,3575.0,9125.0,-5550.0
startech,1,1200.0,6725.0,-5525.0
m & e motors inc,1,24200.0,29700.0,-5500.0
ford speedway,1,9100.0,14600.0,-5500.0
bmw of ann arbor,1,11300.0,16800.0,-5500.0
reachme auto group llc,1,51000.0,56500.0,-5500.0
manheim riverside,4,10687.5,16181.25,-5493.75
ontario vehicle exchange,2,19000.0,24450.0,-5450.0
south texas auto auction,1,12500.0,17950.0,-5450.0
total choice fcu,3,7866.67,13300.0,-5433.33
dakar auto sales inc,1,7500.0,12900.0,-5400.0
dolan toyota scion,2,22000.0,27375.0,-5375.0
big dog motors inc,1,14000.0,19350.0,-5350.0
st marys credit union,1,3200.0,8550.0,-5350.0
emkay canada leasing corp,39,16871.79,22179.49,-5307.69
springfield toyota,1,40000.0,45300.0,-5300.0
loop auto sales and service llc,1,28000.0,33300.0,-5300.0
premier remarketing,1,16800.0,22100.0,-5300.0
merchants auto sales inc,1,11700.0,17000.0,-5300.0
1491081 alberta inc.,4,14600.0,19862.5,-5262.5
rebirth investments inc,1,11500.0,16750.0,-5250.0
chrysler international,2,10350.0,15600.0,-5250.0
avis rac/nashville,2,14050.0,19275.0,-5225.0
remarketing by ge/jme services llc,3,12233.33,17450.0,-5216.67
automart cars & trucks,1,6500.0,11700.0,-5200.0
prestige automotive group llc,1,2750.0,7925.0,-5175.0
avis rac/pv holding/san francisco,8,14212.5,19368.75,-5156.25
texas health credit union,1,3800.0,8950.0,-5150.0
pinnacle financial partners,3,1366.67,6508.33,-5141.67
pars auto,1,2500.0,7625.0,-5125.0
bargain town motor cars inc,4,5350.0,10456.25,-5106.25
acm enterprises group inc,2,9300.0,14400.0,-5100.0
wyrope williamsport federal credit union,1,28000.0,33100.0,-5100.0
star nissan inc,1,12500.0,17600.0,-5100.0
explorer pipeline services co,1,9300.0,14350.0,-5050.0
zygi auto corp,1,7750.0,12800.0,-5050.0
atlantic motors llc,1,14000.0,19050.0,-5050.0
c r a collateral recovery & admin inc,2,9850.0,14875.0,-5025.0
business brigade,1,1350.0,6375.0,-5025.0
fox rent a car tra,133,7732.71,12749.62,-5016.92
stephens chrslr jeep dodge of grnwich llc,7,8785.71,13792.86,-5007.14
cac motors,1,106000.0,111000.0,-5000.0
prime drive inc.,1,46000.0,51000.0,-5000.0
rafferty subaru inc,1,50000.0,55000.0,-5000.0
cs motorworx llc,1,7500.0,12500.0,-5000.0
red 66 auto group,1,18000.0,23000.0,-5000.0
top choice auto sales,1,900.0,5850.0,-4950.0
interstate motorsport llc,1,54750.0,59700.0,-4950.0
professional financial services / jacksonville,2,1650.0,6562.5,-4912.5
onemain rem/tejada auto sales,1,20100.0,25000.0,-4900.0
pilot auto sales inc,1,9200.0,14100.0,-4900.0
simple auto sales llc,1,1600.0,6500.0,-4900.0
l & l wholesales,1,23800.0,28700.0,-4900.0
j s car sales inc,1,11800.0,16700.0,-4900.0
aaa auto wholesale ltd,1,22000.0,26900.0,-4900.0
rexis financial llc,2,10450.0,15325.0,-4875.0
robertson auto,2,5950.0,10825.0,-4875.0
porsche fin svcs dba bentley financial services,7,114142.86,119000.0,-4857.14
fox motors inc,1,10500.0,15350.0,-4850.0
c a p auto sales inc,2,16675.0,21512.5,-4837.5
anthony motor cars llc,1,350.0,5175.0,-4825.0
elite auto financial,1,7600.0,12400.0,-4800.0
mooresville ford mercury inc,1,2500.0,7300.0,-4800.0
a and j auto sales,1,4900.0,9700.0,-4800.0
atlantic finance company,2,9300.0,14050.0,-4750.0
auto xchange inc,1,8550.0,13300.0,-4750.0
barbush rentals/hyundai,1,10100.0,14850.0,-4750.0
platinum automotive,1,900.0,5650.0,-4750.0
a+ fcu,1,2400.0,7125.0,-4725.0
hopkins acura,1,18500.0,23200.0,-4700.0
county of wilson,1,3500.0,8175.0,-4675.0
jim peplinski leasing,1,13800.0,18450.0,-4650.0
enterprise vehicle exchange/franklin,123,11421.14,16058.13,-4636.99
hertz damaged liquidation,144,10226.74,14835.94,-4609.2
sound motors inc,1,20000.0,24600.0,-4600.0
heritage ford,1,2200.0,6800.0,-4600.0
frontier rental inc/dba dollar rent a car,1,23500.0,28100.0,-4600.0
best auto outlet inc,1,10200.0,14800.0,-4600.0
onemain rem/gael auto sales,2,900.0,5500.0,-4600.0
zaz motors import/export,1,650.0,5225.0,-4575.0
greenwise motors llc,1,8700.0,13250.0,-4550.0
iautohaus,2,36625.0,41150.0,-4525.0
enterprise vehicle exchange / tra / rental / tulsa,3008,11101.8,15609.43,-4507.64
park place motorcars,2,87500.0,92000.0,-4500.0
j & m wholesale inc,1,26500.0,31000.0,-4500.0
dfw select motorcars llc,1,26800.0,31300.0,-4500.0
ahfc/honda lease trust/hvt inc.,1,1900.0,6400.0,-4500.0
ace auto group,2,8475.0,12950.0,-4475.0
ray catena bmw of westchester,7,26428.57,30900.0,-4471.43
aubrey alexander toyota,7,18285.71,22746.43,-4460.71
charleston auto auction,1,5400.0,9850.0,-4450.0
aek auto dealer,2,15500.0,19950.0,-4450.0
onemain rem/america auto wholesalers,2,4350.0,8800.0,-4450.0
tork ltd,1,1600.0,6025.0,-4425.0
mercedes benz of west chester,1,46500.0,50900.0,-4400.0
town cars llc,3,6933.33,11308.33,-4375.0
repo remarketing/baylor health care systems cu,1,14100.0,18450.0,-4350.0
manik auto wholesales,1,12500.0,16850.0,-4350.0
napleton's schaumburg pontiac gmc inc,1,2900.0,7250.0,-4350.0
imports auto sales inc,1,53000.0,57300.0,-4300.0
crossroad auto group inc,1,27000.0,31300.0,-4300.0
florida state university credit union,1,4500.0,8800.0,-4300.0
autonation volkswagen delray,2,6450.0,10750.0,-4300.0
advantis credit union,1,1700.0,5975.0,-4275.0
sixrentals corp/damage liquidation,8,8175.0,12450.0,-4275.0
comfort auto rental/leasing dba comfort auto,5,25210.0,29480.0,-4270.0
bic motors llc,2,27475.0,31700.0,-4225.0
seven town trading inc,1,63800.0,68000.0,-4200.0
bmw north america pickups,1,39500.0,43700.0,-4200.0
after lease auto sales,1,8300.0,12500.0,-4200.0
lexus of brookfield,3,29400.0,33566.67,-4166.67
discount car and truck rentals,3,12866.67,17033.33,-4166.67
relvinachel llc,2,5550.0,9700.0,-4150.0
toyota of west covina,1,13000.0,17150.0,-4150.0
executive car leasing company,4,69625.0,73775.0,-4150.0
carmax # 7159,1,13400.0,17550.0,-4150.0
bmw north america/lemon law buy backs,48,26161.98,30297.92,-4135.94
lic motors inc,2,11800.0,15925.0,-4125.0
tennessee employees credit union,1,4700.0,8825.0,-4125.0
dollar thrifty damage liquidation,46,8665.22,12773.91,-4108.7
riverview auto & watercraft,1,13300.0,17400.0,-4100.0
drive now auto credit inc,1,21000.0,25100.0,-4100.0
on the road again,1,28200.0,32300.0,-4100.0
boulevard bank,2,10500.0,14600.0,-4100.0
manheim riverside arbitrations,1,25500.0,29600.0,-4100.0
poage auto center,1,8500.0,12600.0,-4100.0
family car buyers,2,3900.0,8000.0,-4100.0
lithia chrysler jeep dodge ram of wasilla,1,7700.0,11800.0,-4100.0
chapman motor company,1,6300.0,10400.0,-4100.0
abel auto sale,1,1000.0,5100.0,-4100.0
chapman ford lincoln vw,1,16000.0,20100.0,-4100.0
pritchard auto company incorporated,1,6000.0,10100.0,-4100.0
phh vehicle management services  inc,29,18794.83,22879.31,-4084.48
total resource auctions-tulsa,22,1792.05,5868.18,-4076.14
titlemax/anthony tx1,3,1416.67,5475.0,-4058.33
world automotive direct llc,1,7600.0,11650.0,-4050.0
toyota vallejo,1,10400.0,14450.0,-4050.0
central florida auto trader llc,2,23250.0,27300.0,-4050.0
marshall automotive peace river ltd,1,9100.0,13150.0,-4050.0
klassic motors inc,2,18500.0,22550.0,-4050.0
mr m auto group,9,39338.89,43369.44,-4030.56
wolff enterprises llc,1,1100.0,5125.0,-4025.0
servus credit union,4,7112.5,11118.75,-4006.25
enterprise-tra,105,13785.24,17787.38,-4002.14
financial partners credit union,1,8800.0,12800.0,-4000.0
manheim fort myers,1,4200.0,8200.0,-4000.0
united community credit union,2,9400.0,13400.0,-4000.0
trans union leasing llc,1,4700.0,8700.0,-4000.0
northland chevrolet,1,3300.0,7300.0,-4000.0
first niagara bank,1,19000.0,23000.0,-4000.0
ryal & co inc.,1,21000.0,25000.0,-4000.0
spartan controls,1,16500.0,20500.0,-4000.0
ars/luxor motor cars inc,6,12616.67,16600.0,-3983.33
a better way wholesale autos inc,1,5000.0,8975.0,-3975.0
apex auto wholesalers/apex auto lease,2,17400.0,21375.0,-3975.0
alphorn ford lincoln,2,6750.0,10725.0,-3975.0
merits auto & vans sale,1,5000.0,8975.0,-3975.0
toyota motor sales usa inc/buyback/lexus,27,30700.0,34670.37,-3970.37
brazos valley schools credit union,1,11200.0,15150.0,-3950.0
mercedes benz of cincinnati llc,2,54500.0,58450.0,-3950.0
lendmark financial services/hiram,1,1300.0,5250.0,-3950.0
fletcher jones motorcars,1,29750.0,33700.0,-3950.0
motor trend imports llc,2,19450.0,23400.0,-3950.0
ctk auto,1,20750.0,24700.0,-3950.0
enterprise vehicle exchange/el paso,3,19400.0,23333.33,-3933.33
nadz auto sales,1,5300.0,9225.0,-3925.0
nation wide auto sales llc,1,18600.0,22500.0,-3900.0
autonation fiat roseville,1,18900.0,22800.0,-3900.0
tri state leasing inc,2,16200.0,20100.0,-3900.0
fiserv/telhio credit union,1,10200.0,14100.0,-3900.0
