make,model,units_sold,avg_selling_price,avg_market_value,avg_profit,avg_margin_pct
Hyundai,Santa Fe Sport,304,19835.03,19989.47,-154.44,-3.81
Lexus,RX 350,2380,26741.8,26895.4,-153.6,-0.96
Audi,A4,2261,12467.43,12620.27,-152.84,-10.25
Audi,S5,146,32837.33,32990.07,-152.74,-0.79
Infiniti,Q50,539,29399.41,29551.76,-152.35,-1.2
Volkswagen,Beetle Convertible,59,18114.41,18266.1,-151.69,-1.96
Kia,Optima,4388,13400.98,13552.46,-151.48,-6.6
GMC,Sonoma,55,3323.18,3474.55,-151.36,-26.29
Suzuki,Reno,43,1687.21,1838.37,-151.16,-47.87
Mitsubishi,Lancer,1034,8042.34,8193.25,-150.92,-7.53
lexus,gx,98,11871.94,12020.66,-148.72,-2.85
Dodge,Stratus,291,1367.44,1515.81,-148.37,-53.34
Toyota,Camry,12545,11179.5,11327.3,-147.81,-5.32
Volkswagen,Tiguan,537,14198.7,14346.46,-147.76,-2.97
Aston Martin,V8 Vantage,17,50929.41,51076.47,-147.06,-0.58
Saturn,ION,481,2035.24,2180.82,-145.58,-31.35
Oldsmobile,Cutlass Supreme,11,434.09,579.55,-145.45,-47.02
Chevrolet,Cruze,6348,11136.38,11281.21,-144.83,-3.69
Ford,Expedition,2826,16015.29,16159.69,-144.4,-12.2
Jeep,Grand Cherokee,4686,16347.36,16491.46,-144.09,-9.91
Volkswagen,Golf,319,9318.97,9462.93,-143.97,-8.24
Hyundai,Elantra Touring,127,7603.74,7747.05,-143.31,-10.58
Dodge,Dakota,603,5375.68,5518.91,-143.23,-22.79
Pontiac,Bonneville,135,1513.89,1656.85,-142.96,-47.07
Toyota,Tercel,20,555,697.5,-142.5,-54.52
Dodge,Sprinter Cargo,119,8431.93,8573.95,-142.02,-13.47
Chevrolet,Equinox,4916,12345.91,12487.07,-141.16,-6.23
Audi,A8,298,27043.62,27184.73,-141.11,-4.99
Cadillac,SRX,1252,20017.17,20157.15,-139.98,-3.66
Chrysler,Sebring,1347,3112.58,3252.51,-139.93,-32.86
Ford,Mustang,4950,13784.52,13922.03,-137.51,-7.6
Pontiac,Montana SV6,4,2962.5,3100,-137.5,-38.17
Lexus,SC 300,11,1509.09,1645.45,-136.36,-83.27
jeep,patriot,11,15809.09,15945.45,-136.36,-2.02
Chevrolet,Suburban,2401,19758.25,19894.51,-136.26,-8.25
Volvo,S40,396,3838.64,3974.49,-135.86,-26.19
Jeep,Liberty,2556,7801.87,7937.54,-135.67,-11.48
Chevrolet,Malibu Maxx,172,2655.23,2790.84,-135.61,-27.57
Chevrolet,Uplander,342,2939.69,3074.56,-134.87,-16.96
Acura,ILX,140,18810,18944.64,-134.64,-1.46
Volvo,S60,1153,13766.59,13900.93,-134.35,-9.33
Mercury,Sable,221,1746.61,1880.54,-133.94,-46.28
ford,f150,62,8222.18,8355.65,-133.47,-33.14
Toyota,Tacoma,1140,20938.71,21072.04,-133.33,-1.75
Volkswagen,Jetta,4660,7828.77,7961.98,-133.21,-10.28
Subaru,Legacy,1141,13258.95,13391.91,-132.97,-8.03
Toyota,Camry Hybrid,598,13829.33,13961.96,-132.63,-2.6
Hyundai,Tiburon,191,3056.57,3189.01,-132.43,-33.68
Infiniti,FX,394,27351.04,27483.12,-132.08,-1.21
mercury,mountaineer,4,612.5,743.75,-131.25,-33.99
Audi,allroad,46,32436.96,32567.39,-130.43,-0.64
BMW,1 Series,405,19255.49,19385.93,-130.43,-1.51
Infiniti,J30,5,440,570,-130,-33.16
Buick,Park Avenue,116,1609.05,1739.01,-129.96,-50.07
Mazda,Mazda5,623,10106.36,10236.32,-129.96,-8.14
Mazda,Mazda3,2865,9228.66,9358.6,-129.94,-8.35
Honda,Pilot,2068,18463.19,18592.07,-128.88,-2.85
GMC,Sierra 1500,2333,19572.34,19701.15,-128.8,-5.91
mazda,rx8,43,3732.56,3861.05,-128.49,-35.12
Nissan,Truck,16,1212.5,1339.06,-126.56,-44.72
lincoln,mkt,18,28875,29000,-125,-2.42
Mazda,CX-7,384,9418.62,9543.16,-124.54,-4.23
Nissan,Cube,286,8257.69,8381.82,-124.13,-4.99
Subaru,B9 Tribeca,87,6559.77,6683.62,-123.85,-10.35
Dodge,Neon,246,1472.97,1595.12,-122.15,-36.64
chevrolet,malibu,21,4892.86,5014.29,-121.43,-13.23
Jaguar,S-Type,240,2907.71,3028.85,-121.15,-40.54
Lincoln,Town Car,352,4423.51,4544.25,-120.74,-29.28
GMC,Terrain,1136,17450.62,17571.04,-120.42,-1.53
Infiniti,G Coupe,1593,22437.73,22558.07,-120.34,-1.08
Infiniti,QX,211,40571.59,40691.47,-119.88,-0.73
MINI,Cooper Countryman,498,19068.27,19185.89,-117.62,-1.84
Kia,Sedona,946,7516.16,7633.46,-117.3,-15.1
Saturn,VUE,852,3411.65,3528.05,-116.4,-25.03
Mitsubishi,Galant,573,3839.09,3955.5,-116.4,-21.98
smart,fortwo,395,6247.59,6363.61,-116.01,-4.03
Infiniti,M35,257,9949.81,10065.37,-115.56,-5.22
Ford,Five Hundred,358,3048.39,3163.62,-115.22,-27.51
cadillac,srx,76,4942.76,5057.89,-115.13,-12.86
Mazda,Mazdaspeed Protege,5,2340,2455,-115,-72.35
GMC,Suburban,20,1225,1337.5,-112.5,-52.89
Chevrolet,Black Diamond Avalanche,42,34447.62,34559.52,-111.9,-0.87
dodge,grand,61,4016.39,4126.64,-110.25,-44.13
GMC,Canyon,118,9759.75,9869.92,-110.17,-11.17
Lexus,GS 350,766,28310.9,28420.66,-109.76,-0.82
Dodge,Caravan,227,1876.43,1986.01,-109.58,-38.49
Nissan,Rogue,5589,13812.46,13921.89,-109.43,-2.54
Dodge,Grand Caravan,7941,11412.42,11521.64,-109.22,-6.46
Oldsmobile,Aurora,41,1099.39,1207.32,-107.93,-68.92
Scion,FR-S,166,18011.14,18116.87,-105.72,-1.87
Chevrolet,Avalanche,1154,13626.6,13731.63,-105.03,-5.96
BMW,3 Series,8204,16809.63,16912.66,-103.03,-4.98
Maserati,GranTurismo,28,60662.5,60764.29,-101.79,-0.83
Mercedes-Benz,CLK-Class,477,7730.4,7830.71,-100.31,-13.31
Dodge,Ram Van,1,1200,1300,-100,-8.33
Dodge,Sprinter,3,9866.67,9966.67,-100,-1.16
Oldsmobile,Eighty-Eight Royale,3,433.33,533.33,-100,-67.5
mercury,cougar,1,550,650,-100,-18.18
ford truck,explorer,2,375,475,-100,-29.46
mercedes,sprinter,1,18300,18400,-100,-0.55
Subaru,Impreza,953,13310.77,13409.94,-99.17,-4.93
Lexus,ES 350,1921,19757.01,19855.95,-98.93,-1.5
dodge,stratus,28,891.96,990.18,-98.21,-49.88
Infiniti,G35,1121,6808.79,6906.8,-98.02,-11.92
Volvo,V40,21,1716.67,1814.29,-97.62,-25.27
Mitsubishi,Endeavor,182,3756.04,3852.75,-96.7,-19.73
Acura,Integra,44,1127.27,1223.3,-96.02,-67.08
Volvo,C30,40,11853.75,11949.37,-95.62,-4.81
volkswagen,passat,13,2623.08,2717.31,-94.23,-15.52
Chevrolet,Cavalier,384,969.4,1061.59,-92.19,-40.5
Chevrolet,Impala Limited,1102,13852.86,13944.78,-91.92,-2.44
Subaru,XV Crosstrek,201,20982.24,21074.13,-91.89,-2.13
Geo,Prizm,18,536.11,626.39,-90.28,-51.35
Kia,Sorento,3408,14643.26,14733,-89.75,-5.49
Honda,Odyssey,3500,12147.11,12236.23,-89.12,-6.19
Honda,Civic,7433,8678.56,8767.13,-88.57,-7.92
Toyota,Prius,1840,10121.25,10209.51,-88.26,-4.61
Chevrolet,Traverse,2012,16484.8,16572.96,-88.16,-2.38
Ford,Windstar,212,1007.31,1095.4,-88.09,-46.89
landrover,rangerover,6,13325,13412.5,-87.5,-13.29
Acura,RSX,151,4492.72,4579.97,-87.25,-17.92
Saturn,S-Series,350,751.43,838.07,-86.64,-47.79
Subaru,Impreza WRX,108,26016.2,26102.78,-86.57,-0.82
,,10301,8965.74,9051.84,-86.1,-19.16
Lexus,IS 250,1939,19300.43,19386.51,-86.09,-1.62
Kia,Amanti,101,3094.55,3180.45,-85.89,-23.72
Mercedes-Benz,500-Class,7,2685.71,2771.43,-85.71,-29.72
Mazda,CX-9,845,17542.07,17627.78,-85.71,-1.41
honda,odyssey,36,1160.42,1245.83,-85.42,-43.14
Ford,Escort,105,605.24,690.48,-85.24,-44.05
Honda,Crosstour,300,18039.5,18124.17,-84.67,-1
Chevrolet,Silverado 1500,6362,16868.71,16953.37,-84.66,-7.47
Cadillac,DeVille,634,1764.03,1847.99,-83.96,-46.66
Chevrolet,Venture,179,1060.17,1143.85,-83.69,-44.18
Chrysler,Cirrus,26,645.19,728.85,-83.65,-56.66
Acura,MDX,1581,16996.88,17080.12,-83.24,-4.58
Nissan,Altima Hybrid,83,7101.2,7183.73,-82.53,-10.71
Kia,Sportage,1224,12755.23,12836.58,-81.35,-5.4
Mazda,Protege,116,1018.75,1100,-81.25,-39.27
Nissan,Frontier,1411,13868.68,13949.34,-80.66,-4.92
MINI,Cooper,2209,10315.02,10395.36,-80.34,-3.93
Hyundai,Veracruz,156,11462.02,11542.31,-80.29,-3.83
Audi,A6,831,17511.28,17591.46,-80.17,-14.82
Mitsubishi,Outlander,588,12348.38,12428.44,-80.06,-5.01
Infiniti,G Sedan,7417,19943.21,20022.67,-79.46,-0.94
Volkswagen,GLI,65,12206.15,12285,-78.85,-3.6
Pontiac,Solstice,96,6835.94,6914.06,-78.12,-11.5
Dodge,Nitro,610,8806.89,8884.92,-78.03,-4.48
ford,windstar,20,630,707.5,-77.5,-27.93
Mercedes-Benz,300-Class,11,940.91,1018.18,-77.27,-67.83
Nissan,Altima,19349,11421.06,11496.5,-75.45,-5.24
dodge tk,gr,1,550,625,-75,-13.64
Suzuki,Vitara,6,1395.83,1470.83,-75,-56.65
Mazda,3,35,10725.71,10800.71,-75,-22.21
Ford,Tempo,3,333.33,408.33,-75,-22.62
Chevrolet,Astro,42,2130.36,2205.36,-75,-41.17
Mitsubishi,Outlander Sport,547,13546.62,13621.12,-74.5,-2.49
honda,pilot,82,5277.44,5351.22,-73.78,-9.65
Jaguar,X-Type,190,2681.71,2754.34,-72.63,-37.06
Lexus,ES 300,381,3160.24,3232.81,-72.57,-30.03
Hyundai,Sonata Hybrid,546,15571.56,15643.27,-71.71,-2.57
Mazda,Tribute,309,3225.73,3296.93,-71.2,-26.1
Toyota,Sequoia,596,15420.64,15491.15,-70.51,-9.8
Mazda,Mazda6,1512,9401.53,9471.69,-70.17,-9.56
Plymouth,Breeze,5,580,650,-70,-32.62
Acura,TL,2135,11890.67,11959.66,-68.99,-6.15
Audi,TT RS,3,44800,44866.67,-66.67,-0.11
GMC,Acadia,2034,17841.17,17907.65,-66.48,-1.91
Cadillac,Seville,158,1345.25,1409.02,-63.77,-43.67
Ford,Aspire,2,500,562.5,-62.5,-12.5
Ford,F-250 Super Duty,2559,20598.65,20661.12,-62.47,-5.91
Cadillac,Escalade EXT,154,18641.23,18703.25,-62.01,-3.5
Lexus,ES 330,309,6286.41,6347.17,-60.76,-6.51
ford,focus,5,900,960,-60,-11.29
Kia,Spectra,468,2527.62,2587.5,-59.88,-22.78
Toyota,Celica,100,2231.5,2291.25,-59.75,-26.95
Kia,Cadenza,245,20839.39,20898.37,-58.98,-5.19
Oldsmobile,Cutlass,14,632.14,691.07,-58.93,-23.24
Nissan,Xterra,1254,8778.21,8837.1,-58.89,-10.07
Chrysler,Aspen,228,8714.04,8772.48,-58.44,-7.18
Lincoln,LS,218,1823.62,1881.42,-57.8,-48.82
Volkswagen,Jetta SportWagen,208,13830.29,13887.02,-56.73,-2.12
Pontiac,Vibe,246,4131.91,4188.21,-56.3,-14.98
Ford,Windstar Cargo,4,281.25,337.5,-56.25,-18.05
Chrysler,300M,101,1245.3,1300.5,-55.2,-50.25
Volvo,850,20,448.75,503.75,-55,-28.14
Volkswagen,Routan,232,9787.5,9841.7,-54.2,-3.48
Chevrolet,SSR,27,18127.78,18181.48,-53.7,-1.33
Volvo,S70,74,761.15,814.53,-53.38,-42.31
Saturn,Outlook,288,7619.27,7671.87,-52.6,-5.99
Toyota,Matrix,349,5446.78,5498.93,-52.15,-15.34
Ford,Freestyle,278,2661.6,2712.95,-51.35,-29.89
Hyundai,Santa Fe,1645,9783.81,9834.91,-51.1,-13.11
Mercury,Mariner,312,6632.69,6683.09,-50.4,-10
Chevrolet,S-10 Blazer,3,600,650,-50,-27.87
Plymouth,Neon,6,458.33,508.33,-50,-16.84
Mazda,B-Series Truck,6,8466.67,8516.67,-50,-1.67
landrover,range,9,15250,15300,-50,-3.39
Volkswagen,New Beetle,799,3605.19,3654.91,-49.72,-19.18
Mazda,MPV,149,1659.4,1709.06,-49.66,-30.41
Chevrolet,Tracker,69,1775,1823.19,-48.19,-42.49
Kia,K900,61,38557.38,38604.92,-47.54,-0.18
Volvo,XC90,734,9235.59,9282.8,-47.21,-8.23
Toyota,Highlander Hybrid,204,13204.04,13251.1,-47.06,-2.64
vw,routan,12,20916.67,20962.5,-45.83,-0.68
Acura,RDX,420,19012.62,19057.98,-45.36,-1.14
honda,accord,5,1880,1925,-45,-69.23
Ford,C-Max Hybrid,312,15219.24,15262.02,-42.78,-1.66
Oldsmobile,Intrigue,53,860.38,902.83,-42.45,-42.95
plymouth,voyager,3,475,516.67,-41.67,-12.35
Suzuki,Forenza,239,1524.16,1564.96,-40.79,-32.09
Mitsubishi,Montero,64,2754.69,2794.53,-39.84,-15.58
Chevrolet,Express Cargo,1063,9301.6,9340.9,-39.3,-8.14
Toyota,Avalon,1149,10335.72,10374.65,-38.94,-9.78
BMW,6 Series,676,33414.68,33453.37,-38.68,-2.61
Lincoln,Navigator,833,15853.97,15891.78,-37.81,-12.05
Toyota,T100,4,2137.5,2175,-37.5,-10.88
Daewoo,Nubira,2,450,487.5,-37.5,-22.92
Infiniti,QX4,74,2276.35,2312.5,-36.15,-34.08
Audi,A7,133,42101.5,42135.34,-33.83,-0.29
Audi,A3,259,15380.12,15413.9,-33.78,-2.83
BMW,M3,297,30413.89,30447.05,-33.17,-1.33
Scion,tC,694,9413.04,9445.71,-32.67,-8.55
bmw,750i,30,21278.33,21310,-31.67,-1.71
Chevrolet,Silverado 1500HD,44,7335.23,7365.34,-30.11,-8.13
Volkswagen,Golf R,22,25606.82,25636.36,-29.55,-0.45
BMW,Z4,276,22700,22728.99,-28.99,-3.07
Lincoln,Aviator,150,3479.67,3508.5,-28.83,-45.04
Acura,RL,108,5816.9,5845.6,-28.7,-23.89
Volvo,960,7,496.43,525,-28.57,-19.88
Infiniti,QX80,98,54969.39,54996.94,-27.55,-0.53
Toyota,Highlander,2232,15424.77,15452.27,-27.51,-2.35
Infiniti,EX,145,22375.52,22402.76,-27.24,-0.53
Mitsubishi,Lancer Evolution,136,23192.65,23219.67,-27.02,-0.9
Honda,Accord,9127,9657.91,9684.11,-26.19,-7.87
Hyundai,Veloster,608,13337.01,13362.75,-25.74,-3.07
Acura,Legend,9,597.22,622.22,-25,-33.37
chevrolet,corsica,2,350,375,-25,-10.42
Infiniti,G20,39,992.95,1016.67,-23.72,-22.69
Ram,C/V Tradesman,28,8942.86,8966.07,-23.21,-2.51
Infiniti,QX56,438,21682.73,21705.82,-23.09,-0.93
Chevrolet,Tahoe Hybrid,33,14195.45,14218.18,-22.73,-2.78
Lexus,CT 200h,412,19866.02,19888.23,-22.21,-0.56
Honda,CR-V,3265,13372.97,13394.74,-21.77,-1.62
Oldsmobile,Cutlass Ciera,9,383.33,402.78,-19.44,-7.58
mercury,villager,13,576.92,596.15,-19.23,-11.2
Pontiac,Aztek,13,1028.85,1048.08,-19.23,-29.64
Chevrolet,Astro Cargo,46,2329.35,2348.37,-19.02,-72.31
Honda,Passport,29,1273.28,1292.24,-18.97,-62.42
Acura,TSX,1119,14255,14273.79,-18.79,-1.42
Honda,Insight,228,9091.45,9109.32,-17.87,-3.51
Infiniti,I35,96,2742.19,2759.64,-17.45,-17.1
Infiniti,Q45,44,3134.09,3151.14,-17.05,-29.66
Cadillac,Escalade,1183,21970.84,21986.54,-15.7,-7.8
Nissan,Titan,802,13235.49,13250.72,-15.22,-6.79
Hyundai,Azera,314,12737.58,12751.99,-14.41,-7.77
Volvo,XC70,169,14113.91,14128.25,-14.35,-10.45
Toyota,Venza,578,16826.13,16840.4,-14.27,-1.03
Volkswagen,Beetle,457,12717.94,12732.17,-14.22,-3.21
Buick,Terraza,55,3268.18,3282.27,-14.09,-17.17
nissan,quest,11,577.27,590.91,-13.64,-17.91
gmc,savana,2,5300,5312.5,-12.5,-0.49
Buick,Enclave,1070,18876.5,18886.92,-10.42,-1.12
Scion,xA,29,2881.03,2891.38,-10.34,-10.35
mercedes,c230wz,44,6709.09,6718.75,-9.66,-3.05
Isuzu,Trooper,32,995.31,1004.69,-9.37,-22.55
Lexus,GS 300,219,8061.64,8070.66,-9.02,-3.77
Ford,Taurus X,89,4625.28,4633.71,-8.43,-8.39
ford,explorer,72,2269.79,2277.08,-7.29,-23.25
Lexus,IS 350,195,19518.97,19526.15,-7.18,-0.4
Lexus,LS 400,86,2204.94,2211.63,-6.69,-42.62
Lincoln,Continental,67,1226.87,1232.09,-5.22,-48.56
Saab,9-7X,53,4870.75,4875.47,-4.72,-3.8
Mitsubishi,Montero Sport,151,1319.57,1324.17,-4.6,-29.16
lincoln,town,11,5009.09,5013.64,-4.55,-16.33
Land Rover,Discovery,11,1225,1229.55,-4.55,-82.07
dodge,durango,23,2650,2653.26,-3.26,-15.41
GMC,Savana Cargo,662,19636.56,19638.9,-2.34,-0.47
Toyota,Tundra,1314,20961.21,20962.52,-1.31,-2.65
Scion,iQ,122,8888.11,8888.52,-0.41,-0.58
