make,model,units_sold,avg_selling_price,avg_market_value,avg_profit,avg_margin_pct
kia,borrego,2,9000,9700,-700,-7.14
Toyota,MR2 Spyder,16,3537.5,4228.13,-690.62,-52.27
Lexus,GS 450h,33,19547.73,20231.82,-684.09,-8.93
ford tk,ranger,1,2800,3475,-675,-24.11
buick,allure,1,4200,4875,-675,-16.07
Ford,F-150 SVT Lightning,3,7083.33,7750,-666.67,-60.92
GMC,Sierra 1500 Classic,47,10750,11409.57,-659.57,-17.35
Jaguar,XJ,213,40403.76,41061.03,-657.27,-2.49
Mazda,Truck,8,2343.75,2990.63,-646.88,-46.36
gmc truck,yukon,2,950,1587.5,-637.5,-209.11
Daewoo,Leganza,1,300,925,-625,-208.33
Infiniti,FX45,35,8171.43,8791.43,-620,-17.66
Mitsubishi,i-MiEV,21,7290.48,7905.95,-615.48,-9.3
Jaguar,XF,391,23804.22,24411.45,-607.23,-3.57
Subaru,WRX,33,29900,30503.03,-603.03,-2.48
oldsmobile,intrigue,2,462.5,1062.5,-600,-123.97
Chevrolet,Spark,322,8024.93,8621.82,-596.89,-25.33
jeep,wrangler,61,7690.98,8286.07,-595.08,-14.6
Chevrolet,Tahoe Limited/Z71,11,1138.64,1731.82,-593.18,-61.59
bmw,7,2,13200,13787.5,-587.5,-3.25
Mercedes-Benz,CLS-Class,476,29916.89,30494.33,-577.44,-3.21
BMW,X5 M,37,45804.05,46378.38,-574.32,-2.78
BMW,X6 M,26,58284.62,58853.85,-569.23,-1.77
mercedes,s55,5,10240,10805,-565,-7.36
FIAT,500e,3,14133.33,14683.33,-550,-3.64
Ram,3500,253,34569.96,35119.37,-549.41,-3.1
Toyota,Prius Plug-in,45,16821.11,17362.22,-541.11,-3.94
honda,civic,7,2300,2825,-525,-32.63
Bentley,Continental GT,43,67310.47,67834.88,-524.42,-1.58
vw,beetle,3,4600,5116.67,-516.67,-62.54
Land Rover,Range Rover,396,39298.75,39814.46,-515.71,-9.25
Ram,CV Tradesman,4,15512.5,16025,-512.5,-2.75
Nissan,Versa Note,658,10334.04,10844.53,-510.48,-15.16
Nissan,NV Cargo,58,20937.07,21447.41,-510.34,-2.8
GMC,Sierra 2500,4,6000,6506.25,-506.25,-19.37
Volkswagen,EuroVan,7,2757.14,3260.71,-503.57,-24.62
Acura,mdx,4,23000,23500,-500,-3.05
gmc,sonoma,2,850,1350,-500,-62.32
mercedes-b,c230wz,1,8800,9300,-500,-5.68
GMC,Safari,3,2266.67,2766.67,-500,-29.11
Toyota,Prius v,103,16969.42,17465.05,-495.63,-4.33
Infiniti,M56,10,24045,24540,-495,-2.25
Infiniti,QX70,73,33686.99,34179.45,-492.47,-3.06
Dodge,Ram Pickup 2500,505,15587.77,16076.78,-489.01,-13.51
cadillac,sts,29,4781.03,5269.83,-488.79,-28.21
Volkswagen,R32,15,10556.67,11045,-488.33,-7.2
bmw,750li,30,40914.17,41400,-485.83,-2.08
Dodge,Ram Cargo,7,1328.57,1814.29,-485.71,-132.85
Infiniti,Q70,32,32464.06,32940.62,-476.56,-1.83
Infiniti,M37,90,21567.74,22042.78,-475.03,-3.56
nissan,pathfinder,2,750,1225,-475,-88.1
Isuzu,Ascender,38,2750,3222.37,-472.37,-83.42
Porsche,Panamera,268,55730.41,56197.01,-466.6,-1.06
Hyundai,Equus,132,33029.55,33493.18,-463.64,-2.07
Mazda,Mazda2,418,8232.79,8690.79,-458,-20.41
