make,model,units_sold,avg_odometer,avg_selling_price,avg_market_value,avg_profit
Mitsubishi,Lancer Evolution,4,117420.0,15575.0,11593.75,3981.25
Chevrolet,Tahoe,329,117345.0,16281.76,15767.63,514.13
Chevrolet,Avalanche,99,117190.0,16221.21,15826.52,394.7
Toyota,Highlander Hybrid,18,116979.0,16361.11,15366.67,994.44
Dodge,Challenger,5,116964.0,15020.0,14730.0,290.0
Lexus,Gx 460,9,116654.0,28543.33,27088.89,1454.44
Mercedes-Benz,M-Class,28,116406.0,16358.93,16466.07,-107.14
Land Rover,Range,9,116394.0,14983.33,14883.33,100.0
Ram,1500,61,115692.0,17697.54,17765.98,-68.44
Chevrolet,Tahoe Hybrid,9,115635.0,15933.33,14833.33,1100.0
Acura,Mdx,53,115343.0,15550.94,15696.23,-145.28
Jeep,Wrangler,144,114762.0,16583.68,16194.1,389.58
Infiniti,Qx56,51,114325.0,18639.22,18260.78,378.43
Cadillac,Cts-V,1,114284.0,22300.0,25200.0,-2900.0
Ford,Taurus,3,114165.0,14033.33,12700.0,1333.33
Dodge,Ram Pickup 1500,49,113968.0,16188.78,15790.82,397.96
Ford,Edge,16,113923.0,15818.75,15537.5,281.25
Hummer,H3,7,113821.0,14564.29,12935.71,1628.57
Bmw,M5,6,113589.0,16525.0,14866.67,1658.33
Bmw,X3,7,113516.0,18471.43,20685.71,-2214.29
Mercedes-Benz,Sl-Class,4,113480.0,15725.0,15137.5,587.5
Porsche,Cayman S,2,113232.0,16500.0,15425.0,1075.0
Chevrolet,Silverado 1500hd,1,112923.0,14500.0,13000.0,1500.0
Infiniti,Fx35,7,112891.0,15450.0,14635.71,814.29
Bmw,6 Series,19,112887.0,15273.68,15365.79,-92.11
Bmw,5 Series,19,112879.0,17644.74,18878.95,-1234.21
Honda,Odyssey,12,112841.0,15095.83,15562.5,-466.67
Nissan,Armada,10,112714.0,15650.0,15260.0,390.0
Lexus,Gs 460,3,112533.0,15166.67,15583.33,-416.67
Audi,Q7,23,112466.0,17330.43,17732.61,-402.17
Bmw,X5,81,112387.0,16451.23,15745.06,706.17
Porsche,Cayenne,13,112147.0,17823.08,16946.15,876.92
Gmc,Acadia,24,112093.0,16243.75,16831.25,-587.5
Mercedes-Benz,E-Class,14,112049.0,18260.71,18553.57,-292.86
Honda,Ridgeline,8,111914.0,15100.0,14743.75,356.25
Bmw,3 Series,5,111597.0,14450.0,13060.0,1390.0
Bmw,5 Series Gran Turismo,2,111596.0,19750.0,20700.0,-950.0
Lexus,Is 350,2,111489.0,15050.0,15400.0,-350.0
Nissan,Titan,13,110927.0,15188.46,13846.15,1342.31
Toyota,Avalon,7,110817.0,16600.0,15564.29,1035.71
Nissan,Frontier,8,110807.0,15237.5,16031.25,-793.75
Chevrolet,Express Cargo,7,110797.0,14642.86,13571.43,1071.43
Honda,Pilot,38,110710.0,15151.32,15184.21,-32.89
Ford,Escape,2,110535.0,14150.0,12750.0,1400.0
Audi,A6,2,110464.0,14000.0,13350.0,650.0
Buick,Enclave,12,110398.0,14091.67,13270.83,820.83
Mercedes-Benz,Cl-Class,9,110332.0,24544.44,24855.56,-311.11
Bmw,X6,4,110315.0,27925.0,29175.0,-1250.0
Toyota,Rav4,2,110311.0,14650.0,14125.0,525.0
Mercedes-Benz,Cls-Class,23,110168.0,14913.04,14269.57,643.48
Chevrolet,Camaro,15,110092.0,15256.67,14420.0,836.67
Audi,S6,6,110071.0,15433.33,14625.0,808.33
Audi,Q5,15,110047.0,16560.0,16876.67,-316.67
Nissan,Nv,1,109657.0,14400.0,12900.0,1500.0
Chevrolet,Trailblazer,1,109576.0,13900.0,11850.0,2050.0
Subaru,Outback,2,109369.0,13900.0,16275.0,-2375.0
Gmc,Yukon Hybrid,3,109188.0,16833.33,14566.67,2266.67
Bmw,M3,6,109120.0,19316.67,18408.33,908.33
Infiniti,M,1,108941.0,16100.0,20400.0,-4300.0
Ford,E-Series Van,4,108736.0,15100.0,13025.0,2075.0
Land Rover,Lr4,1,108695.0,21800.0,22400.0,-600.0
Jaguar,Xj,1,108675.0,26250.0,28700.0,-2450.0
Bmw,7 Series,10,108561.0,19370.0,19355.0,15.0
Chrysler,Town And Country,1,108536.0,13800.0,6525.0,7275.0
Ford,Explorer Sport Trac,4,108478.0,16125.0,17237.5,-1112.5
Bmw,750i,1,108160.0,23200.0,24300.0,-1100.0
Lexus,Gs 350,11,108057.0,14650.0,14368.18,281.82
Dodge,Charger,6,107922.0,16783.33,15683.33,1100.0
Ford,Expedition El,4,107680.0,13975.0,12737.5,1237.5
Land Rover,Lr3,1,107642.0,14100.0,13650.0,450.0
Dodge,Grand Caravan,2,107451.0,14750.0,16575.0,-1825.0
Dodge,Durango,4,107321.0,15775.0,16775.0,-1000.0
Ford,Flex,9,107226.0,14472.22,14277.78,194.44
Ford,Ranger,2,107045.0,15850.0,7375.0,8475.0
Cadillac,Srx,7,106991.0,14414.29,14742.86,-328.57
Lincoln,Navigator L,4,106896.0,14612.5,14512.5,100.0
Volvo,Xc60,2,106832.0,14000.0,13725.0,275.0
