seller,sale_year,units_sold,total_revenue,avg_profit
dtgc car rental ltd partnership,2015,1,11000.0,150.0
du page chrysler dodge ram jeep,2015,2,20800.0,-687.5
dublin cadillac nissan & gmc,2015,32,599900.0,688.28
dublin honda,2014,2,34400.0,50.0
dublin hyundai,2015,1,3600.0,825.0
dublin toyota,2015,5,85950.0,740.0
dublin volkswagen,2015,1,11400.0,900.0
dubois & freres ltd,2015,17,498550.0,-1632.35
duc imports inc,2015,1,17000.0,1700.0
ducharme motors ltd,2015,4,87850.0,-1787.5
duck river electric membership corp,2015,5,42300.0,1275.0
duffy wholesalers,2015,2,31800.0,1250.0
duke boys auto inc,2014,2,4700.0,162.5
duke industries,2014,2,5750.0,-25.0
duke industries,2015,15,89400.0,338.33
duke's used cars,2015,1,14000.0,2600.0
dukes auto,2014,3,6050.0,-758.33
dukes auto,2015,5,89200.0,-245.0
dulles jeep kia subaru,2015,8,136850.0,1562.5
duncan hokie honda,2014,7,7950.0,-246.43
duncan hyundai,2014,1,1100.0,-650.0
dunn brothers premium auto corp,2015,2,47850.0,-75.0
dunn motors,2015,11,252900.0,520.45
dunton motors dream machines,2015,1,15100.0,400.0
dupaco community credit union,2014,5,15800.0,-515.0
dupaco community credit union,2015,25,139925.0,-1379.0
dupont community credit union,2015,2,16000.0,550.0
duramax motors inc,2014,1,3100.0,-775.0
duran auto sales,2015,1,1250.0,0.0
durango auto sales llc,2015,1,12700.0,-150.0
durant toyota,2014,43,206400.0,141.28
durbin motor sales,2014,1,18000.0,-1700.0
durbin motor sales,2015,2,34300.0,1275.0
durfee street auto sales inc,2014,5,34250.0,-655.0
durfee street auto sales inc,2015,29,210000.0,-50.86
dutrac community credit union,2015,1,6400.0,400.0
dutton motor co,2014,15,118200.0,5.0
dutton motor co,2015,52,501800.0,237.98
duval acura,2015,1,37500.0,-300.0
duval ford,2015,19,290700.0,110.53
dwyer instruments,2014,1,4400.0,-1550.0
dyala auto broker llc,2015,1,3500.0,-475.0
dye enterprises,2015,1,700.0,-425.0
dyer & dyer volvo,2014,4,30750.0,-387.5
dyer & dyer volvo,2015,7,46350.0,-178.57
dyer chevrolet,2015,60,630300.0,172.92
dyer mazda,2014,8,89000.0,-425.0
dyer mazda,2015,10,99400.0,800.0
dynamic auto group,2014,1,1050.0,-325.0
dynamite auto sales inc,2015,1,28000.0,1700.0
dynasty motors llc,2015,1,5800.0,275.0
dyson motors,2015,1,1100.0,-325.0
e & g exotic auto sales inc,2015,2,75500.0,6050.0
e & k's auto sales llc,2015,1,6000.0,-1825.0
e & l motors corp,2014,2,13400.0,-450.0
e & l motors corp,2015,4,64200.0,-187.5
e & m garage,2015,1,500.0,-900.0
e & n auto,2015,1,5400.0,-1400.0
e autodirect sales llc,2014,5,18150.0,-435.0
e b autos,2015,1,27000.0,1300.0
e c auto sales inc,2015,1,3600.0,275.0
e car inc,2015,1,3500.0,-500.0
e federal credit union,2015,1,9700.0,1825.0
e hunter automotive group llc,2014,1,14800.0,1900.0
e j auto sales,2015,2,35500.0,-2625.0
e j auto sales inc,2015,2,23300.0,500.0
e motor cars,2015,5,97000.0,535.0
e o berry motor co,2015,1,2100.0,125.0
e z credit autos,2014,1,800.0,-425.0
e z credit autos,2015,1,1000.0,100.0
e z loan inc,2014,1,650.0,-300.0
e z way auto sales inc,2015,1,4100.0,1375.0
e-trade auto sales,2015,1,7800.0,375.0
e-z auto buy incorporated,2014,1,3400.0,-925.0
e-z auto sales inc,2015,1,2600.0,400.0
e-z terms auto finance llc,2014,1,700.0,-1325.0
e.t. sales,2014,11,70600.0,143.18
e.t. sales,2015,58,453000.0,534.48
e/e auto wholesale,2015,3,30500.0,1833.33
e/v auto,2014,1,700.0,-650.0
eagle auto auction inc,2015,1,18500.0,-550.0
eagle auto center,2014,1,600.0,-25.0
eagle auto finance,2015,1,11750.0,-3150.0
eagle automotives inc,2014,1,6900.0,175.0
eagle automotives inc,2015,5,71600.0,370.0
eagle buick gmc inc,2015,28,362400.0,494.64
eagle federal credit union,2014,1,7400.0,-825.0
eagle federal credit union,2015,2,13900.0,-187.5
eagle loan company,2015,1,1100.0,-75.0
eagle motors,2015,1,2700.0,-325.0
eagle motorsports corporation,2015,4,65300.0,1337.5
eagle north leasing inc,2015,1,14000.0,-900.0
eagle one auto sales,2014,1,850.0,-950.0
ean holdings,2015,1,13000.0,-16300.0
earl hyles auto sales inc,2015,2,5500.0,62.5
earl stewart toyota of north palm beach,2014,28,129900.0,-233.93
earl stewart toyota of north palm beach,2015,7,79500.0,767.86
earls transmission service inc,2014,1,1000.0,350.0
earnhardt,2014,68,691100.0,-558.09
earnhardt,2015,331,3948650.0,261.93
earnhardt cadillac,2015,1,18750.0,-1950.0
earth motorcars llc,2014,1,80000.0,-7000.0
east bay bmw,2014,12,64200.0,139.58
east bay bmw,2015,151,1230050.0,621.36
east charlotte nissan,2015,3,23100.0,433.33
east coast auto group inc,2015,2,58400.0,-300.0
east coast financial,2014,15,77100.0,-308.33
east coast financial,2015,157,940950.0,-669.59
east coast honda,2015,108,1423200.0,406.25
east coast motors of nj,2015,1,8550.0,-50.0
east coast toyota scion,2015,13,80200.0,-673.08
east coast volkswagen,2015,30,390600.0,230.83
east creek motors llc.,2014,1,3050.0,-1225.0
east end auto sales,2014,1,12800.0,-200.0
east end auto sales,2015,4,156600.0,-1037.5
east lawn one llc,2015,2,33500.0,-250.0
east providence auto sales inc,2014,1,850.0,-1075.0
east side motors,2015,2,46050.0,-1150.0
east texas sleds & scoots inc,2015,1,13400.0,1150.0
east town auto,2015,1,5700.0,-550.0
east west lincoln mercury inc,2015,4,25200.0,-268.75
easter seals of wisconsin,2015,1,250.0,-175.0
eastern auto motor corp,2014,1,15000.0,-1850.0
eastern auto sales corp,2015,1,18900.0,-750.0
eastern auto trading inc,2014,5,55350.0,-780.0
eastern auto trading inc,2015,63,1068600.0,-608.73
eastern auto wholesale inc,2014,1,11750.0,2775.0
eastern auto wholesale inc,2015,1,8000.0,-750.0
eastern bank,2014,1,2100.0,-1500.0
eastern bank,2015,1,9000.0,-5450.0
eastern carolina nissan inc,2015,5,39600.0,-420.0
eastern utah community credit union,2015,11,72625.0,-131.82
eastern vehicle recycling inc,2015,2,93750.0,-8025.0
easterns automotive group,2015,16,177450.0,-131.25
eastgate motorcars inc,2015,1,12800.0,2500.0
eastside collateral,2015,2,29900.0,800.0
eastside corridor constructors,2014,2,22400.0,-250.0
eastside corridor constructors,2015,4,46300.0,1150.0
easy acceptance,2015,13,37850.0,-321.15
easy auto sales llc,2014,1,3900.0,-1100.0
easy car financial inc,2014,1,1200.0,-175.0
easy car leasing llc dba brac of birmingham,2014,3,83200.0,266.67
easy car leasing llc dba brac of birmingham,2015,89,1940300.0,-247.19
easy credit auto sales,2014,1,1500.0,-1250.0
easy credit auto sales inc,2015,1,4300.0,-150.0
easy money,2015,2,1550.0,-1062.5
eaton auto sales & leasing,2015,3,63850.0,1516.67
eau claire auto exchange,2015,1,1700.0,-400.0
eautoniche llc,2015,3,51150.0,3425.0
ebenzz motors,2014,4,105200.0,575.0
ebenzz motors,2015,52,1271700.0,738.46
ebersole auto sales,2015,1,56800.0,1100.0
ec cars,2015,1,13800.0,-2400.0
ec sales company,2014,1,30800.0,-1000.0
ec sales company,2015,22,514000.0,454.55
ec sales llc,2014,15,291450.0,60.0
ec sales llc,2015,138,2575050.0,246.74
ecargarage,2014,1,2950.0,475.0
ecargarage,2015,1,1800.0,-375.0
ecarhouse,2015,1,1700.0,575.0
ecars,2014,28,402900.0,931.25
ecars,2015,262,4153800.0,949.24
ecars usa,2015,3,37050.0,-1366.67
echopark,2015,19,258600.0,-1135.53
eckert auto,2014,1,5100.0,100.0
eckert hyundai inc,2015,2,5700.0,-337.5
eckhaus fleet llc,2015,1,11200.0,-50.0
eckley auto brokers inc,2014,13,212300.0,82.69
eckley auto brokers inc,2015,48,831750.0,646.35
eco drive auto sales/leasing inc,2015,5,55050.0,965.0
ecocars trans,2015,3,10800.0,-1100.0
econo auto sales llc,2014,2,11150.0,-1487.5
econo automotive center inc,2015,1,6000.0,-625.0
economy auto sales llc,2014,1,2300.0,-875.0
economy auto wholesale,2015,1,950.0,-825.0
economy honda cars,2015,14,103900.0,-444.64
economy honda superstore,2015,1,18000.0,-50.0
economy rent a car & sales inc,2014,2,31000.0,1900.0
economy rent a car & sales inc,2015,85,1614300.0,301.18
economy rent a car/ars,2015,17,374100.0,97.06
ed bozarth nevada #1 chevrolet,2014,1,71000.0,0.0
ed bozarth nevada #1 chevrolet,2015,10,188550.0,1455.0
ed bresnahan a/s dba thrifty rac,2015,10,105250.0,-610.0
ed dees,2014,3,17700.0,508.33
ed dees,2015,2,13400.0,775.0
ed esposito motors,2015,1,14700.0,-750.0
ed hicks infiniti,2015,1,12700.0,-3800.0
ed hicks nissan ltd,2015,3,51500.0,-325.0
ed howard lincoln mercury  inc,2015,4,59700.0,-237.5
ed koehn ford lincoln mercury,2015,1,22100.0,200.0
ed martin nissan of fishers,2015,5,92100.0,500.0
ed morse auto plaza,2014,10,98100.0,35.0
ed morse auto plaza,2015,106,788300.0,349.76
ed morse cadillac,2014,1,500.0,-100.0
ed morse cadillac,2015,55,344600.0,-111.82
ed morse honda,2015,2,45000.0,-550.0
ed morse mazda lakeland,2014,2,7400.0,-537.5
ed morse mazda lakeland,2015,22,134400.0,279.55
ed morse sawgrass auto mall,2015,2,54210.0,-1945.0
ed murdock ford,2015,2,39000.0,625.0
ed napleton acura,2014,1,900.0,-175.0
ed napleton acura,2015,21,53100.0,-469.05
ed napleton honda,2014,13,67800.0,-209.62
ed napleton honda,2015,122,841600.0,6.97
ed napleton westmont imports inc,2015,4,94750.0,-756.25
ed shults chevrolet inc,2015,1,13500.0,-1850.0
ed shults ford lincoln,2015,1,34800.0,-1100.0
ed shults of warren inc,2015,3,40000.0,1258.33
ed stibgen auto sales,2015,1,25000.0,-1000.0
ed voyles chrysler jeep inc,2014,3,25600.0,141.67
ed voyles chrysler jeep inc,2015,34,499600.0,-263.24
ed voyles kia of chamblee,2014,3,33100.0,358.33
ed wright,2014,1,3000.0,450.0
edd lindley auto sales,2015,1,13400.0,-400.0
eddie anderson motors llc,2014,1,1200.0,-50.0
eddie mercer automotive,2015,1,800.0,-1000.0
eddie tourelles northpark nissan inc,2015,3,37000.0,283.33
eddie's auto sales,2015,2,7600.0,25.0
eddies auto sales,2014,1,1300.0,275.0
eddies memories,2015,1,13250.0,-1450.0
eden auto brokers inc,2015,1,5100.0,-125.0
eden prairie nissan,2014,1,7000.0,-650.0
eden prairie nissan,2015,2,10500.0,162.5
eden vehicle marketing inc,2014,2,10550.0,-687.5
eden vehicle marketing inc,2015,1,24300.0,-1200.0
edge auto imports,2014,1,650.0,-1000.0
edge auto inc,2015,1,8700.0,-300.0
edies cars,2015,1,1700.0,-425.0
edinburg motors inc,2015,1,1100.0,-400.0
edj enterprises llc dba cnac,2014,1,900.0,-725.0
edmond chevrolet gmc buick,2015,3,42700.0,833.33
edmonton auto zone ltd,2015,1,7500.0,-2100.0
edmonton motors ltd,2015,1,3700.0,1175.0
edmonton truck sales ltd,2015,1,15000.0,-3050.0
educational employees credit union,2015,7,78800.0,-2335.71
educational system fcu,2014,1,3500.0,-1175.0
educational system fcu,2015,11,136150.0,-800.0
educators credit union,2014,1,5300.0,-1450.0
educators credit union,2015,18,129000.0,-231.94
edward colosimo auto sales,2014,3,62900.0,500.0
edward colosimo auto sales,2015,77,1191450.0,679.55
edward oshea,2014,16,93700.0,-731.25
edward oshea,2015,3,14700.0,-1675.0
edwards motor company inc,2014,14,154200.0,976.79
edwards motor company inc,2015,12,206700.0,-352.08
edwards nissan,2015,11,183500.0,779.55
edwards subaru hyundai,2015,23,294800.0,147.83
eec motors,2015,1,14500.0,900.0
eecu,2015,3,16000.0,-1983.33
efc inc,2015,2,2400.0,-500.0
effingham auto care & tire inc,2014,1,5900.0,-1775.0
effingham auto care & tire inc,2015,3,52650.0,-683.33
efkamp auto sales,2015,1,22000.0,400.0
egyaaman,2014,1,2350.0,-1000.0
eich mazda,2015,3,50400.0,908.33
eide chrysler dodge jeep ram,2015,5,52900.0,-50.0
eide hyundai,2014,1,14700.0,2850.0
eiffel motors,2014,1,7600.0,475.0
eiffel motors,2015,1,6500.0,125.0
einspahr auto plaza inc,2015,1,19500.0,1250.0
eisenhauer nissan inc,2015,3,81600.0,1033.33
el camino auto sales,2015,1,6300.0,-525.0
el general auto dealer,2015,1,4700.0,-525.0
el mor chevrolet inc,2015,4,63750.0,737.5
el paisano auto sales inc,2015,1,2600.0,-1050.0
elad motors,2014,19,444200.0,-121.05
elad motors,2015,52,1144000.0,1061.06
elbmotors,2014,1,4000.0,-25.0
elco administrative services,2015,1,1800.0,-1825.0
elco chevrolet inc,2014,6,30150.0,575.0
elco chevrolet inc,2015,52,531350.0,-340.87
elder ford of tampa,2014,34,202100.0,-47.06
elder ford of tampa,2015,77,1392500.0,239.94
eldorado motors,2015,11,18600.0,-611.36
elease returns com corporation,2015,1,3400.0,450.0
electric service credit union,2014,1,1650.0,50.0
electric service credit union,2015,4,19100.0,-2975.0
electrical fcu,2015,1,2000.0,450.0
electro savings credit union,2014,1,8400.0,-1500.0
electro savings credit union,2015,8,49875.0,37.5
elegant auto sales,2015,3,6950.0,-341.67
elegante auto sales inc,2015,3,14500.0,-908.33
element financial corp,2015,5,16300.0,-65.0
element vehicle management services llc,2015,31,359750.0,-868.55
elephant auto group,2015,1,12000.0,500.0
elgin toyota,2015,1,10000.0,-900.0
eli's auto world inc,2015,3,73700.0,1100.0
eliott rentals inc,2015,3,20200.0,-266.67
elite 1 auto inc,2014,3,4450.0,-458.33
elite acceptance corp,2015,1,5250.0,-150.0
elite acura,2015,38,161050.0,-466.45
elite auto credit llc,2015,1,15000.0,200.0
elite auto financial,2015,1,7600.0,-4800.0
elite auto financing,2015,5,60550.0,-640.0
elite auto group inc,2015,2,44000.0,4725.0
elite auto group llc,2014,1,8600.0,-175.0
elite auto group llc,2015,21,199500.0,-220.24
elite auto llc,2014,1,17750.0,-1300.0
elite auto sales  llc,2015,2,13900.0,-337.5
elite auto sales & service inc,2014,1,2500.0,-2100.0
elite auto sales llc,2015,3,56450.0,-166.67
elite auto sales/leasing,2014,14,74100.0,894.64
elite auto sales/leasing,2015,27,265750.0,766.67
elite auto trade,2014,1,250.0,-600.0
elite auto wholesale,2014,2,25300.0,-1937.5
elite auto wholesale,2015,8,81500.0,-706.25
elite autos,2015,1,20750.0,650.0
elite car rental,2015,3,43800.0,-83.33
elite car sales west inc,2014,1,175.0,-375.0
elite car sales west inc,2015,10,142750.0,-87.5
elite imports plus llc,2014,2,7200.0,375.0
elite motor mall,2015,1,1850.0,-600.0
elite motorcars,2014,1,14200.0,-1700.0
elite motors,2014,6,36800.0,762.5
elite motors,2015,20,166750.0,202.5
elite motors inc,2014,2,15500.0,712.5
elite motors inc,2015,7,143800.0,642.86
elite motors llc,2015,3,122300.0,1333.33
elite motorsports inc,2014,1,1800.0,-1875.0
elite remarketing,2015,2,16400.0,1075.0
elite sports cars  llc,2015,1,34000.0,-8100.0
elizabeth andrus - trustee,2015,1,11700.0,1100.0
elk river ford merc,2014,7,37200.0,-1182.14
ellahib auto,2015,1,10000.0,875.0
ellis automotive group inc,2015,3,27500.0,-600.0
ellis brooks leasing inc,2015,1,16900.0,-450.0
elmhurst auto group ltd,2014,1,4900.0,175.0
elmhurst auto group ltd,2015,17,254700.0,645.59
elmwood auto sales inc,2014,4,51250.0,2762.5
elmwood chrysler dodge jeep ram,2014,1,1900.0,-900.0
elmwood chrysler dodge jeep ram,2015,47,342450.0,-242.55
eloy motors inc,2015,4,11200.0,-431.25
elrac  llc,2015,11,59600.0,-843.18
elrac llc,2014,1,9900.0,100.0
elrac llc,2015,2,5450.0,-587.5
elsenpeter motors llc,2015,1,2700.0,1000.0
elwood auto sales,2015,1,6200.0,1425.0
em cars inc,2015,2,17000.0,1400.0
emad auto sales,2015,1,5000.0,-925.0
emerald city auto inc,2015,1,13100.0,5950.0
emery fcu,2015,2,10700.0,-1237.5
emich chevrolet,2014,1,600.0,-75.0
emich chevrolet,2015,2,59800.0,300.0
emich volkswagen,2014,1,3000.0,-1225.0
emich volkswagen,2015,5,42700.0,-1970.0
emiliya worldwide automotive inc,2015,1,15000.0,300.0
emj automotive remarketing,2014,2,3350.0,387.5
emkay canada leasing corp,2015,39,658000.0,-5307.69
emkay caribbean leasing corporation,2014,1,7000.0,-1625.0
emkay inc,2014,30,394600.0,-241.67
emkay inc,2015,273,3414250.0,-214.65
emp motors corp,2014,2,23500.0,-3025.0
empire auto,2015,1,19500.0,-2300.0
empire auto sales,2015,3,18100.0,700.0
empire auto sales inc,2015,1,2100.0,275.0
empire automotive group inc,2015,5,33500.0,-230.0
empire financial,2014,1,1600.0,-325.0
empire group,2015,1,19000.0,2450.0
empire rent a car inc,2015,3,80100.0,-1100.0
emporium auto sale llc,2015,1,15000.0,-700.0
empower credit union,2015,1,875.0,350.0
empower fcu,2014,1,1100.0,-2100.0
empower fcu,2015,3,15600.0,-1216.67
empower group inc,2015,1,15200.0,-3150.0
enable mississippi river transmission llc,2015,3,18400.0,-1333.33
encompass federal credit union,2015,1,4400.0,100.0
encore motorcars of sarasota inc,2015,1,11500.0,-1650.0
energy country motors,2015,1,22000.0,-1900.0
energy fcu,2015,3,43200.0,116.67
energy united,2015,1,3600.0,725.0
engels auto inc,2015,1,5400.0,-2800.0
engle road auto,2015,1,7100.0,-1050.0
englewood cadillac,2015,17,182850.0,-1748.53
ent fcu,2014,9,54600.0,-169.44
ent fcu,2015,20,215700.0,241.25
enterprise,2015,1,21000.0,-400.0
enterprise car sales,2014,7,10950.0,-539.29
enterprise car sales,2015,203,990100.0,-241.26
enterprise car sales/farmington hills,2015,1,8900.0,-1800.0
enterprise car sales/orange,2014,8,24500.0,-312.5
enterprise car sales/orange,2015,107,339900.0,-143.93
enterprise car sales/tulsa,2014,1,10700.0,-450.0
enterprise car sales/tulsa,2015,14,129800.0,-575.0
enterprise exchange llc,2014,1,3700.0,-925.0
enterprise financial llc,2015,1,2800.0,-850.0
enterprise fleet management,2015,42,481775.0,-900.0
enterprise fleet management exchange,2015,186,2148000.0,-1139.11
enterprise fleet management exchange  inc.,2014,52,707450.0,-1485.58
enterprise fleet management exchange  inc.,2015,365,4663150.0,-1310.21
enterprise fleet management inc,2015,10,59250.0,-382.5
enterprise fleet services/st louis,2015,2,25200.0,325.0
enterprise fm exchange,2014,5,19400.0,-205.0
enterprise fm exchange,2015,24,177500.0,-1004.17
enterprise fm exchange/lease,2015,21,407900.0,-50.0
enterprise fm exchange/tra/lease,2014,20,110800.0,-2195.0
enterprise fm exchange/tra/lease,2015,132,803500.0,-1382.58
enterprise fm trust,2015,66,829750.0,-1125.0
enterprise holdings/gdp,2014,18,290750.0,-602.78
enterprise holdings/gdp,2015,1065,19869645.0,-83.38
enterprise leasing co. of georgia,2014,2,1150.0,-162.5
enterprise leasing co. of georgia,2015,23,70125.0,-138.04
enterprise leasing company/merriam,2015,2,22300.0,-62.5
enterprise motorcars inc,2014,2,70500.0,-550.0
enterprise motorcars inc,2015,7,184550.0,-64.29
enterprise rac/edmonton,2015,8,168450.0,-3193.75
enterprise rent a car,2014,1,8500.0,1125.0
enterprise rent a car,2015,48,904200.0,26.04
enterprise rent a car/ars,2014,1,28200.0,900.0
enterprise rent a car/ars,2015,39,952300.0,-73.08
enterprise rent a car/hyundai,2015,3,49700.0,266.67
enterprise rent a car/london,2015,10,128600.0,82.5
enterprise veh exchange/rental,2014,582,10829150.0,-353.57
enterprise veh exchange/rental,2015,6271,115458736.0,-254.2
enterprise vehicle exchange / rental / tulsa,2014,11,56450.0,-395.45
enterprise vehicle exchange / rental / tulsa,2015,179,1038850.0,-439.39
enterprise vehicle exchange / tra / birmingham,2015,22,171200.0,-7998.86
enterprise vehicle exchange / tra / rental / tulsa,2014,389,4053700.0,-4662.85
enterprise vehicle exchange / tra / rental / tulsa,2015,2619,29340500.0,-4484.58
enterprise vehicle exchange inc. dallas,2015,5,117200.0,5230.0
enterprise vehicle exchange-non pgm/orlando,2015,61,1261700.0,127.05
enterprise vehicle exchange/ars/coconut creek,2014,12,279800.0,187.5
enterprise vehicle exchange/ars/coconut creek,2015,67,1512200.0,182.46
enterprise vehicle exchange/davenport,2014,60,1035800.0,-74.58
enterprise vehicle exchange/davenport,2015,442,7964250.0,144.06
enterprise vehicle exchange/dfw airport,2015,363,6356600.0,339.88
enterprise vehicle exchange/el paso,2015,3,58200.0,-3933.33
enterprise vehicle exchange/franklin,2014,13,135200.0,-3738.46
enterprise vehicle exchange/franklin,2015,110,1269600.0,-4743.18
enterprise vehicle exchange/hapeville,2014,8,124200.0,-7675.0
enterprise vehicle exchange/hapeville,2015,6,69100.0,-7391.67
enterprise vehicle exchange/honolulu,2015,30,430400.0,-283.33
enterprise vehicle exchange/linthicum heights,2015,3,32900.0,-116.67
enterprise vehicle exchange/lombard,2015,2,9200.0,-100.0
enterprise vehicle exchange/montgomery,2015,22,350100.0,-313.64
enterprise vehicle exchange/non program,2014,12,269400.0,-29.17
enterprise vehicle exchange/non program,2015,70,1605700.0,79.29
enterprise vehicle exchange/orange,2014,63,1062900.0,55.95
enterprise vehicle exchange/orange,2015,568,9796600.0,-70.99
enterprise vehicle exchange/sharonville,2014,13,178000.0,-10519.23
enterprise vehicle exchange/sharonville,2015,30,477950.0,100.83
enterprise vehicle exchange/st louis,2014,5,71800.0,-2600.0
enterprise vehicle exchange/st louis,2015,13,237500.0,-203.85
enterprise vehicle exchange/waukesha,2014,3,5600.0,0.0
enterprise vehicle exchange/waukesha,2015,2,4925.0,-162.5
enterprise vehicle exchange/wayne,2015,47,441750.0,-2555.32
enterprise-tra,2014,24,294500.0,-4031.25
enterprise-tra,2015,81,1152950.0,-3993.52
enterprise/ars,2014,6,170000.0,1383.33
enterprise/ars,2015,192,4914500.0,444.27
enterprise/recon,2015,1,10600.0,-6850.0
enumclaw chrysler jeep dodge,2015,2,8500.0,1450.0
envision credit union,2014,6,17100.0,-1087.5
envision credit union,2015,5,23300.0,-875.0
envista credit union,2014,1,4800.0,-300.0
envista credit union,2015,7,39100.0,-953.57
enzo motors inc,2014,1,6825.0,-25.0
epic auto,2014,1,2600.0,-450.0
epic auto,2015,1,8000.0,275.0
epic auto sales llc,2014,1,5300.0,1250.0
eppys auto sales llc,2015,1,17900.0,800.0
equishare credit union,2015,1,8000.0,-2500.0
equitable finance,2015,2,9000.0,-1612.5
equity auto center llc,2015,1,3500.0,-525.0
equity auto finance,2015,1,5100.0,825.0
equity finance group,2015,2,8700.0,787.5
er auto sales and leasing  llc,2014,1,1700.0,-300.0
er fleet and rental,2015,3,50000.0,216.67
era classic auto sales ltd,2014,6,20350.0,387.5
era classic auto sales ltd,2015,1,900.0,-100.0
erac vehicle holdings llc,2015,1,34500.0,-800.0
erhard bmw,2014,10,69800.0,-512.5
erhard bmw,2015,35,374750.0,437.14
erhard bmw of farmington hills,2014,18,137600.0,-191.67
erhard bmw of farmington hills,2015,45,320400.0,283.33
eric j sheets,2015,1,3200.0,-125.0
erie community credit union,2015,1,9100.0,-900.0
erie community federal credit union,2015,2,14350.0,-512.5
ernst auto center inc,2015,3,66800.0,466.67
ernst toyota,2015,4,82200.0,1425.0
erwin enterprises inc,2015,2,24500.0,450.0
es - car auto,2015,1,5800.0,-125.0
escamilla chevrolet pontiac gmc,2014,2,51600.0,1050.0
escamilla chevrolet pontiac gmc,2015,7,110700.0,1117.86
escamilla ford inc,2015,9,192100.0,422.22
especially swedish auto sales inc,2015,1,600.0,-300.0
espo enterprises inc,2014,3,10700.0,-800.0
esquivel auto depot,2014,1,400.0,-575.0
essen motor company inc,2014,4,43200.0,287.5
essen motor company inc,2015,69,779900.0,690.22
estate sales,2015,1,15000.0,1200.0
estguin wholesalers llc,2015,1,11600.0,-1100.0
etc auto group llc,2015,4,35800.0,-56.25
etoile autoligne,2015,1,5500.0,1825.0
ett auto sales llc,2015,1,6900.0,-1125.0
eufaula ford  inc.,2015,1,17300.0,300.0
eugene auto center,2015,3,29550.0,133.33
eugens auto sales,2015,1,10050.0,1100.0
euro auto collection inc,2015,6,140900.0,-875.0
euro cars llc,2014,1,2600.0,-1875.0
euro coach auto net corp,2015,2,19600.0,1412.5
euro motorcars inc,2014,12,268550.0,-1252.08
euro motorcars inc,2015,28,503000.0,-1086.61
euro motorsports,2015,11,229600.0,-2604.55
euro motorwerks,2015,1,17900.0,-750.0
euro speed international corp,2015,1,13800.0,1150.0
euro wheels,2015,1,700.0,-5575.0
eurocar,2014,4,277500.0,325.0
eurocar,2015,16,1005250.0,-953.13
eurofix,2015,13,269900.0,246.15
euromotive llc,2015,2,42700.0,-775.0
europa motorcar company inc,2015,1,11500.0,-950.0
european / international gmbh,2015,1,7400.0,275.0
european auto house,2015,1,1500.0,-1075.0
european auto inc,2015,1,5700.0,-1850.0
european automobile company,2014,2,69000.0,-3550.0
european automotive imports inc,2015,3,31000.0,325.0
european motor sports inc,2015,1,84500.0,-31500.0
european motors,2015,1,5300.0,-800.0
eurotake llc,2015,1,22000.0,-3700.0
evans arena chrysler dodge jeep ram,2015,1,6600.0,950.0
evans auto sales,2015,2,2600.0,-375.0
eveland sales inc,2014,1,5000.0,-525.0
event motoring,2015,1,6600.0,-875.0
ever shine auto detailing,2015,2,6600.0,-12.5
everett chevrolet buick gmc of morganton llc,2014,1,23000.0,-1400.0
everett chevrolet inc,2014,5,63500.0,380.0
everett chevrolet inc,2015,49,635900.0,403.06
everett nissan,2015,1,28600.0,400.0
evergreen auto sales,2014,2,2200.0,-225.0
evergreen auto sales,2015,3,6950.0,-175.0
evergreen kia,2014,1,15000.0,-350.0
evergreen kia,2015,7,96000.0,-575.0
everything automotive,2014,1,3500.0,-700.0
everything on wheels,2015,2,12500.0,1125.0
evia auto sales inc,2015,9,22550.0,-883.33
evolution motorsports llc,2015,2,60000.0,1650.0
evolve federal credit union,2015,3,50600.0,-633.33
ew sales llc,2014,1,8500.0,-1900.0
ewald fleet solution,2015,6,77400.0,316.67
excalibur auto & marine,2014,1,700.0,125.0
excalibur auto & marine,2015,2,2200.0,-1825.0
excalibur auto group inc,2015,3,43900.0,50.0
excalibur motors inc,2014,1,9500.0,-25.0
excel auto sales,2014,1,700.0,-1250.0
excel fcu,2015,1,8600.0,-200.0
excel finance co/austin,2015,1,10900.0,-450.0
excell auto center,2014,7,135200.0,-2542.86
excell auto center,2015,318,6975700.0,-1731.05
excellent auto sales inc,2015,1,9800.0,-2100.0
exceptional motorcar llc,2014,67,1006200.0,739.18
exceptional motorcar llc,2015,520,9102950.0,1064.47
exceptional motorcars ltd,2014,20,288150.0,328.75
exceptional motorcars ltd,2015,214,2679600.0,354.09
exclusive auto,2015,1,17000.0,750.0
exclusive auto brokers llc,2015,1,2250.0,-10100.0
exclusive auto sales,2014,1,9200.0,-2250.0
exclusive auto sales,2015,2,21900.0,-2050.0
exclusive auto sales & service llc,2014,2,3650.0,-1237.5
exclusive auto wholesale llc,2015,1,3400.0,250.0
exclusive automotive llc,2015,1,8500.0,1350.0
exclusive cars inc,2014,2,83250.0,1125.0
exclusive cars inc,2015,38,872650.0,1198.03
exclusive imports llc,2015,1,14500.0,-250.0
exclusive motor cars inc,2014,6,6075.0,-483.33
exclusive motors,2015,9,116500.0,797.22
executive auto,2014,1,2700.0,-1125.0
executive auto,2015,2,8400.0,-437.5
executive auto brokers & leasing inc,2014,2,5400.0,-675.0
executive auto brokers & leasing inc,2015,24,54450.0,-651.04
executive auto sales,2014,1,30000.0,1100.0
executive auto sales,2015,2,27900.0,925.0
